rank_num,domain,taxon,taxon_rank,priority,sequences,file
61,bacteria,Bacillaceae,family,72.95,464,061_Bacillaceae_family.fna
62,bacteria,Polyangiales,order,72.93,134,062_Polyangiales_order.fna
63,bacteria,Bdellovibrionota,phylum,71.64,1076,063_Bdellovibrionota_phylum.fna
64,bacteria,Blastocatellales,order,71.6,268,064_Blastocatellales_order.fna
65,bacteria,Tissierellales,order,70.85,2138,065_Tissierellales_order.fna
66,bacteria,Opitutia,class,70.05,186,066_Opitutia_class.fna
67,bacteria,Anaerolineaceae,family,70.04,2764,067_Anaerolineaceae_family.fna
68,bacteria,Chloroflexia,class,69.63,102,068_Chloroflexia_class.fna
69,bacteria,Enterobacterales,order,67.99,279,069_Enterobacterales_order.fna
70,bacteria,Verrucomicrobiia,class,67.7,393,070_Verrucomicrobiia_class.fna
71,bacteria,Alteromonadales,order,65.44,628,071_Alteromonadales_order.fna
72,bacteria,Spirochaetales,order,65.34,1823,072_Spirochaetales_order.fna
73,bacteria,Acetobacterales,order,64.48,241,073_Acetobacterales_order.fna
74,bacteria,Methylococcales,order,63.99,282,074_Methylococcales_order.fna
75,bacteria,Clostridiaceae,family,62.78,1201,075_Clostridiaceae_family.fna
76,bacteria,Campylobacterales,order,61.58,1075,076_Campylobacterales_order.fna
77,bacteria,Mycoplasmatota,phylum,61.11,674,077_Mycoplasmatota_phylum.fna
78,archaea,Methanomicrobia,class,60.72,520,078_Methanomicrobia_class.fna
79,bacteria,Rhodocyclales,order,60.68,382,079_Rhodocyclales_order.fna
80,bacteria,Desulfobacteraceae,family,60.41,3706,080_Desulfobacteraceae_family.fna
81,bacteria,Desulfuromonadia,class,59.49,410,081_Desulfuromonadia_class.fna
82,bacteria,Thermoleophilia,class,59.45,708,082_Thermoleophilia_class.fna
83,bacteria,Lysobacteraceae,family,59.16,412,083_Lysobacteraceae_family.fna
84,bacteria,Leptolyngbyales,order,58.99,323,084_Leptolyngbyales_order.fna
85,bacteria,Erysipelotrichales,order,58.94,586,085_Erysipelotrichales_order.fna
86,bacteria,Selenomonadales,order,58.55,398,086_Selenomonadales_order.fna
87,bacteria,Chroococcales,order,58.34,54,087_Chroococcales_order.fna
88,bacteria,Mollicutes,class,58.23,674,088_Mollicutes_class.fna
89,bacteria,Comamonadaceae,family,58.04,826,089_Comamonadaceae_family.fna
90,bacteria,Phycisphaerae,class,57.27,1393,090_Phycisphaerae_class.fna
91,bacteria,Saprospirales,order,57.01,697,091_Saprospirales_order.fna
92,bacteria,Synergistales,order,56.98,194,092_Synergistales_order.fna
93,bacteria,Verrucomicrobiales,order,56.53,391,093_Verrucomicrobiales_order.fna
94,bacteria,Chromatiaceae,family,52.2,146,094_Chromatiaceae_family.fna
95,bacteria,Methylococcaceae,family,51.8,248,095_Methylococcaceae_family.fna
96,bacteria,Pirellulales,order,51.62,1296,096_Pirellulales_order.fna
97,bacteria,Oceanospirillaceae,family,50.92,107,097_Oceanospirillaceae_family.fna
98,bacteria,Gemmatimonadota,phylum,50.15,168,098_Gemmatimonadota_phylum.fna
99,bacteria,Blastocatellaceae,family,50.01,268,099_Blastocatellaceae_family.fna
100,bacteria,Desulfobulbales,order,49.93,625,100_Desulfobulbales_order.fna
101,bacteria,Terriglobia,class,49.69,525,101_Terriglobia_class.fna
102,bacteria,Sphingomonadales,order,49.52,729,102_Sphingomonadales_order.fna
103,bacteria,Armatimonadota,phylum,49.45,32,103_Armatimonadota_phylum.fna
104,bacteria,Chloroflexales,order,48.61,84,104_Chloroflexales_order.fna
105,bacteria,Oscillatoriales,order,48.52,170,105_Oscillatoriales_order.fna
106,bacteria,Erysipelotrichaceae,family,48.32,448,106_Erysipelotrichaceae_family.fna
107,bacteria,Rhodospirillaceae,family,46.85,93,107_Rhodospirillaceae_family.fna
108,bacteria,Thiotrichales,order,46.41,363,108_Thiotrichales_order.fna
109,bacteria,Desulfovibrionales,order,46.4,489,109_Desulfovibrionales_order.fna
110,bacteria,Vicinamibacteria,class,46.37,1129,110_Vicinamibacteria_class.fna
111,bacteria,Propionibacteriales,order,46.05,776,111_Propionibacteriales_order.fna
112,bacteria,Sphingobacteriales,order,45.58,498,112_Sphingobacteriales_order.fna
113,bacteria,Prolixibacteraceae,family,45.56,453,113_Prolixibacteraceae_family.fna
114,bacteria,Rikenellaceae,family,45.46,1581,114_Rikenellaceae_family.fna
115,bacteria,Verrucomicrobiaceae,family,44.54,190,115_Verrucomicrobiaceae_family.fna
116,bacteria,Leptolyngbyaceae,family,43.59,317,116_Leptolyngbyaceae_family.fna
117,bacteria,Pirellulaceae,family,43.26,1296,117_Pirellulaceae_family.fna
118,bacteria,Acetobacteraceae,family,41.33,71,118_Acetobacteraceae_family.fna
119,bacteria,Peptococcaceae,family,40.83,307,119_Peptococcaceae_family.fna
120,bacteria,Opitutales,order,40.7,80,120_Opitutales_order.fna
121,bacteria,Hyphomicrobiaceae,family,39.52,260,121_Hyphomicrobiaceae_family.fna
122,bacteria,Weeksellaceae,family,39.46,392,122_Weeksellaceae_family.fna
123,bacteria,Pseudonocardiaceae,family,38.96,421,123_Pseudonocardiaceae_family.fna
124,bacteria,Fusobacteriales,order,38.84,429,124_Fusobacteriales_order.fna
125,archaea,Haloferacaceae,family,38.62,298,125_Haloferacaceae_family.fna
126,bacteria,Thermoanaerobacterales,order,38.55,248,126_Thermoanaerobacterales_order.fna
127,bacteria,Neisseriales,order,38.3,447,127_Neisseriales_order.fna
128,bacteria,Deinococcota,phylum,38.19,339,128_Deinococcota_phylum.fna
129,bacteria,Oligoflexia,class,38.02,34,129_Oligoflexia_class.fna
130,bacteria,Pasteurellaceae,family,37.93,566,130_Pasteurellaceae_family.fna
131,bacteria,Acidimicrobiia,class,37.92,310,131_Acidimicrobiia_class.fna
132,bacteria,Vicinamibacterales,order,37.65,1129,132_Vicinamibacterales_order.fna
133,archaea,Desulfurococcales,order,37.58,57,133_Desulfurococcales_order.fna
134,bacteria,Halanaerobiales,order,37.38,104,134_Halanaerobiales_order.fna
135,bacteria,Cyclobacteriaceae,family,37.02,84,135_Cyclobacteriaceae_family.fna
136,bacteria,Solirubrobacterales,order,36.33,218,136_Solirubrobacterales_order.fna
137,bacteria,Spirochaetaceae,family,36.13,1817,137_Spirochaetaceae_family.fna
138,bacteria,Desulfuromonadales,order,35.67,146,138_Desulfuromonadales_order.fna
139,bacteria,Aquificota,phylum,35.54,56,139_Aquificota_phylum.fna
140,bacteria,Gemmataceae,family,35.33,633,140_Gemmataceae_family.fna
141,bacteria,Sporomusaceae,family,35.29,179,141_Sporomusaceae_family.fna
142,bacteria,Marinilabiliaceae,family,34.27,276,142_Marinilabiliaceae_family.fna
143,bacteria,Carnobacteriaceae,family,34.17,179,143_Carnobacteriaceae_family.fna
144,bacteria,Polyangiaceae,family,34.17,68,144_Polyangiaceae_family.fna
