node_id	is_leaf
Neobodonida_O	no
Neocallimastigaceae.U.genus_ON	yes
Neocallimastigaceae_F	no
Neocallimastigales_O	no
Neocallimastigomycetes_C	no
Neocallimastix_G	yes
Neocercomonas_G	yes
Neocopepoda_iC	no
Neodiplogasteridae_F	no
Neofabraea_G	yes
Neogastropoda_O	no
Neogregarinorida.U.genus_ON	yes
Neogregarinorida_O	no
Neoptera_iC	no
Neopterygii_sC	no
Neovahlkampfia_G	yes
Neovahlkampfiidae_F	no
Nepetoideae_sF	no
Neurospora_G	yes
Nibbleridae_F	no
Nibbleridea_C	no
Nibbleridia_P	no
Nibbleridida_O	no
Nibbleromonas_G	yes
Nothopodinae_sF	no
Nothopodini_T	no
Notosolenus_G	yes
Nucleariidae_F	no
Nucleariidae_Nuclearia_2_X_ON	yes
Nygolaimidae_F	no
Nygolaimina_sO	no
Nygolaiminae_sF	no
Nygolaimoidea_SF	no
OSLEUM_clade_Cl	no
OUU_clade_Cl	no
Ochrophyta_Cl	no
Octocorallia_sC	no
Oligohymenophorea.U.genus_ON	yes
Oligohymenophorea_C	no
Oligotrophini_T	no
Onygenaceae_F	no
Onygenales_O	no
Oomycota_P	no
Opalinata_O	no
Opalozoa.U.genus_ON	yes
Opalozoa_Cl	no
Ophryoglenina_sO	no
Opisthokonta.U.genus_ON	yes
Opisthokonta_Cl	no
Oribatida_sO	no
Orobanchaceae_F	no
Orobanchaceae_incertae_sedis_NR	no
Oryza_G	yes
Oryzeae_T	no
Oryzinae_sT	no
Oryzoideae_sF	no
Ostariophysi_S	no
Osteoglossocephalai_Cl	no
Ostreida_O	no
Ostreidae_F	no
Ostreococcus_G	yes
Ostreoidea_SF	no
Otomorpha_C	no
Otophysi_Cl	no
Oxytrichidae_F	no
PACMAD_clade_Cl	no
PX_clade_Cl	no
Panagrolaimidae_F	no
Panagrolaimoidea_SF	no
Panagrolaimomorpha_iO	no
Panarthropoda_Cl	no
Pancrustacea_Cl	no
Panellus_G	yes
Panicoideae_sF	no
Papilionoideae_sF	no
Paracalanidae_F	no
Paracalanus_G	yes
Paracercomonas_G	yes
Paradiniida_O	no
Paradinium_G	yes
Parameciidae_F	no
Paramecium_G	yes
Paramicrosporidium_G	yes
Paramoeba_G	yes
Paramoebidae_F	no
Paraneoptera_C	no
Parhypochthoniidae_F	no
Parhypochthonioidea_SF	no
Parhypochthonius_G	yes
Parhyposomata_iO	no
Parmeliaceae_F	no
Paucitubulatina_sO	no
Paulinella_G	yes
Paulinellidae_F	no
Pelagiidae_F	no
Pelagomonadaceae_F	no
Pelagomonadales_O	no
Pelagophyceae_C	no
Pelobiontida.U.genus_ON	yes
Pelobiontida_O	no
Peloderinae_sF	no
Penicillium_G	yes
Peniculida_O	no
Pennatuloidea_SF	no
Pentapetalae_Cl	no
Pentapharsodinium_G	yes
Penthaleidae_F	no
Penthaleus_G	yes
Peridiniaceae_F	no
Peridiniales_O	no
Peritrichia_2.U.genus_ON	yes
Peritrichia_sC	no
Perkinsea_Cl	no
Perkinsida_O	no
Perkinsida_X.U.genus_ON	yes
Perkinsozoa_P	no
Peronosporaceae_F	no
Peronosporales.U.genus_ON	yes
Peronosporales_O	no
Petalomonadida.U.genus_ON	yes
Petalomonadida_O	no
Petalomonas_G	yes
Petrosaviidae_sC	no
Pezizomycotina.U.genus_ON	yes
Pezizomycotina_sP	no
Phaeodactylaceae_F	no
Phaeodactylum_G	yes
Phaeophyceae_C	no
Phaeosphaeria_G	yes
Phaeosphaeriaceae_F	no
Phaseoleae_T	no
Phialophora_G	yes
Philaenus_G	yes
Phryganella_G	yes
Phryganellidae_F	no
Phryganellina.U.genus_ON	yes
Phryganellina_sO	no
Phthiraptera_O	no
Phyllocoptinae_sF	no
Phyllopharyngea.U.genus_ON	yes
Phyllopharyngea_C	no
Phyllopharyngia_sC	no
Phyllopoda_sC	no
Physcomitrella_G	yes
Physochila_G	yes
Phytomonas_G	yes
Phytophthora_G	yes
Pichiomycetes_C	no
Picomonadea_C	no
Picomonadida_O	no
Picomonadidae_F	no
Picomonas_G	yes
Picozoa_P	no
Pipidae_F	no
Pipoidea_SF	no
Piromyces_G	yes
Piroplasmida_O	no
Plagiopyxidae_F	no
Plagiostomidae_F	no
Plagiostomum_G	yes
Plasmodiidae.U.genus_ON	yes
Plasmodiidae_F	no
Plasmodium1_ON	yes
Plasmodium2_ON	yes
Plasmodium4_ON	yes
Plasmodium_G	no
Plasmodium_Plasmodium_sG	no
Platyhelminthes.U.genus_ON	yes
Platyhelminthes_P	no
Plectonchus_G	yes
Pleosporales_O	no
Pleosporineae_sO	no
Pleosporomycetidae_sC	no
Ploima_O	no
Poaceae_F	no
Poales_O	no
Podoplea_SO	no
Podospora_G	yes
Podosporaceae_F	no
Polychaeta_C	no
Polychaos_G	yes
Polychytriales_O	no
Polychytriales_incertae_sedis_NR	no
Polychytrium_G	yes
Polycystinea.U.genus_ON	yes
Polycystinea_C	no
Pontellidae_F	no
Pooideae_sF	no
Populus_G	yes
Primates_O	no
Pristionchus_G	yes
Prodesmodora_G	yes
Prolecithophora_O	no
Prorodontida_O	no
Prostigmata_sO	no
Prostomatea_C	no
Protacanthamoeba_G	yes
Protaspa_G	yes
Protaspidae_F	no
Protostomia_Cl	no
Provora_Cl	no
Psalteriomonadidae_F	no
Psathyrellaceae_F	no
Pseudocolliniidae_F	no
Pseudotrocha_SO	no
Pseudovorticella_G	yes
Psocodea_SO	no
Psora_G	yes
Psoraceae_F	no
Pteriomorphia_Cl	no
Pterocystida_O	no
Pterygota_sC	no
Ptolemeba_G	yes
Pycnora_G	yes
Pycnoraceae_F	no
Pyloniidae_F	no
Pythiaceae_F	no
Pythiales_O	no
Pythium_G	yes
Radiolaria.U.genus_ON	yes
Raphidista_Cl	no
Raphidocelis_G	yes
Rattus_G	yes
Rehmannia_G	yes
Reophacidae_F	no
Reophax_G	yes
Retaria_Cl	no
Rhabditida_O	no
Rhabditidae_F	no
Rhabditina_sO	no
Rhabditoidea_SF	no
Rhabditomorpha_iO	no
Rhabditophora_C	no
Rhabdomonadales_O	no
Rhizaria.U.genus_ON	yes
Rhizaria_Cl	no
Rhizoclosmatium_G	yes
Rhizophagus_G	yes
Rhizophydiales.U.genus_ON	yes
Rhizophydiales_O	no
Rhizophydiales_incertae_sedis_NR	no
Rhizopodaceae_F	no
Rhizopus_G	yes
Rhodophyta_P	no
Rhynchomonadidae_F	no
Rhynchomonas_G	yes
Ricinidae_F	no
Ricinus_G	yes
Rigifila_G	yes
Rigifilida_O	no
Rigifilida_XXXX.U.genus_ON	yes
Ripidomyxa_G	yes
Rodentia_O	no
Rotifera_P	no
Rotifera_XX.U.genus_ON	yes
Rotosphaerida_O	no
Russula_G	yes
Russulaceae_F	no
Russulales_O	no
