name,novelty_factor
Dino-Group-II-Clade-14,inf
Centroplasthelida_XXXX,inf
Lagynidae,inf
Dino-Group-II-Clade-21,inf
Diplophrydaceae,inf
Amphitraemidae,inf
Gregarinomorphea.U.family,inf
MAST-12,inf
Allobodonidae,inf
OLIGO2,inf
Chytridiomycetaceae,inf
Dino-Group-II_X,inf
Prolecithophora,inf
Nucleariidae_Nuclearia_2,inf
Pterocystida_XX,inf
Reophacidae,inf
Vampyrellidae,inf
Evaginogenida,inf
Ventrifissuridae,inf
Thaumatomonadidae,inf
LKM74-lineage,inf
Eimeriida.U.family,inf
ARMOP1,inf
Choanocystidae,inf
Leptomyxidae,inf
Novel-Clade-4,inf
Nucleohelea,inf
Cryomonadida.U.family,inf
OLIGO5_X,inf
Rhynchomonadidae,inf
Paradinida_X,inf
Paracercomonadidae,inf
Mataza-lineage,inf
CCW10-lineage,inf
Allapsidae,inf
Limnofilidae,inf
MAST-3,inf
Rhizophydiaceae,inf
Nibbleridae,inf
NC12B-lineage,inf
Filosa-Thecofilosea_XX,inf
Hartmannulidae,inf
Adeleidae,inf
Acanthopodida.U.family,inf
Ceratiaceae,inf
Glissomonadida_X,inf
Thaumatomonadida_X,inf
Sphaerozoidae,inf
Cryothecomonas-lineage,inf
Corallicolidae,inf
Alphamonaceae,inf
Craniata_XX,inf
Cryomonadida_X,inf
Echinamoebidae,inf
Haliphthorales,inf
Massiteriidae,inf
Nebulidae,inf
Skeletonemaceae,inf
