level,name,novelty_factor
family,Dysteriidae,inf
family,Distigmidae,inf
family,NC12A-lineage,inf
family,Glissomonadida.U.family,inf
family,Rhabdocoela,inf
family,Spironemidae,inf
family,Stylocephalidae,inf
family,Ophryoglenida,inf
family,Xcellidae,inf
family,Dino-Group-II-Clade-14,inf
family,Centroplasthelida_XXXX,inf
family,Lagynidae,inf
family,Dino-Group-II-Clade-21,inf
family,Diplophrydaceae,inf
family,Amphitraemidae,inf
family,Gregarinomorphea.U.family,inf
family,MAST-12,inf
family,Allobodonidae,inf
family,OLIGO2,inf
family,Chytridiomycetaceae,inf
family,Dino-Group-II_X,inf
family,Prolecithophora,inf
family,Nucleariidae_Nuclearia_2,inf
family,Pterocystida_XX,inf
family,Reophacidae,inf
family,Vampyrellidae,inf
family,Evaginogenida,inf
family,Ventrifissuridae,inf
family,Thaumatomonadidae,inf
family,LKM74-lineage,inf
family,Eimeriida.U.family,inf
family,ARMOP1,inf
family,Choanocystidae,inf
family,Leptomyxidae,inf
family,Novel-Clade-4,inf
family,Nucleohelea,inf
family,Cryomonadida.U.family,inf
family,OLIGO5_X,inf
family,Rhynchomonadidae,inf
family,Paradinida_X,inf
family,Paracercomonadidae,inf
family,Mataza-lineage,inf
family,CCW10-lineage,inf
family,Allapsidae,inf
family,Limnofilidae,inf
family,MAST-3,inf
family,Rhizophydiaceae,inf
family,Nibbleridae,inf
family,NC12B-lineage,inf
family,Filosa-Thecofilosea_XX,inf
family,Hartmannulidae,inf
family,Adeleidae,inf
family,Acanthopodida.U.family,inf
family,Ceratiaceae,inf
family,Glissomonadida_X,inf
family,Thaumatomonadida_X,inf
family,Sphaerozoidae,inf
family,Cryothecomonas-lineage,inf
family,Corallicolidae,inf
family,Alphamonaceae,inf
family,Craniata_XX,inf
family,Cryomonadida_X,inf
family,Echinamoebidae,inf
family,Haliphthorales,inf
family,Massiteriidae,inf
family,Nebulidae,inf
family,Skeletonemaceae,inf
genus,Eukaryota.U.genus,0.385
genus,Opisthokonta.U.genus,0.035
genus,Metazoa.U.genus,0.349
genus,Fungi_XXXX,0.027
genus,Fungi.U.genus,0.158
genus,Ascomycota.U.genus,0.058
genus,Pezizomycotina.U.genus,0.273
genus,Arthropoda.U.genus,0.025
genus,Insecta.U.genus,0.517
genus,Streptophyta_XXXXX,0.001
genus,Saccharomycotina.U.genus,0.204
genus,Sordariomycetes.U.genus,0.311
genus,Mammalia_X,0.069
genus,Mammalia.U.genus,0.116
genus,Basidiomycota.U.genus,0.02
genus,Eurotiomycetes.U.genus,0.529
genus,Saccharomycetales.U.genus,1.098
genus,Dothideomycetes.U.genus,0.923
genus,Dothideomycetes_X,0.096
genus,Agaricomycotina.U.genus,0.248
genus,Saccharomyces,0.65
genus,Homo,5.0
genus,Gibberella,1.726
genus,Agaricomycetes.U.genus,0.594
genus,Agaricomycetes_X,0.007
genus,Aspergillus,0.181
genus,Stramenopiles_XXXXX,0.01
genus,Stramenopiles.U.genus,2.163
genus,Mollusca.U.genus,0.717
genus,Nematoda.U.genus,3.669
genus,Penicillium,0.549
genus,Chromadorea_X.U.genus,0.983
genus,Chromadorea_XX,0.362
genus,Alveolata.U.genus,1.795
genus,Tremellomycetes_X,0.138
genus,Tremellomycetes.U.genus,0.265
genus,Lecanoromycetes.U.genus,0.3
genus,Chlorophyta_X.U.genus,2.037
genus,Leotiomycetes.U.genus,0.991
genus,Arabidopsis,4.286
genus,Arachnida.U.genus,0.27
genus,Ustilaginomycotina.U.genus,0.371
