LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Lacimicrobium_G	Lacimicrobium (G) NF=1.0
Planctobacterium_G	Planctobacterium (G) NF=1.0
Halioxenophilus_G	Halioxenophilus (G) NF=1.5
Pseudobowmanella_G	Pseudobowmanella (G) NF=2.0
Agaribacter_G	Agaribacter (G) NF=5.5
Aliagarivorans_G	Aliagarivorans (G) NF=1.0
Gayadomonas_G	Gayadomonas (G) NF=1.0
Shewanellaceae_F	Shewanellaceae (F) NF=0.7
Shewanella_G	Shewanella (G) NF=0.7
Psychrobium_G	Psychrobium (G) NF=3.7
Pseudoalteromonadaceae_F	Pseudoalteromonadaceae (F) NF=0.7
Pseudoalteromonas_G	Pseudoalteromonas (G) NF=0.7
Psychrosphaera_G	Psychrosphaera (G) NF=0.2
Algicola_G	Algicola (G) NF=3.0
Colwelliaceae_F	Colwelliaceae (F) NF=1.9
Colwellia_G	Colwellia (G) NF=2.0
Thalassotalea_G	Thalassotalea (G) NF=1.5
Thalassomonas_G	Thalassomonas (G) NF=1.7
Litorilituus_G	Litorilituus (G) NF=0.3
Idiomarinaceae_F	Idiomarinaceae (F) NF=1.1
Idiomarina_G	Idiomarina (G) NF=1.4
Pseudidiomarina_G	Pseudidiomarina (G) NF=0.3
Aliidiomarina_G	Aliidiomarina (G) NF=1.7
Psychromonadaceae_F	Psychromonadaceae (F) NF=0.7
Psychromonas_G	Psychromonas (G) NF=0.9
Moritellaceae_F	Moritellaceae (F) NF=1.5
Moritella_G	Moritella (G) NF=0.9
Ferrimonadaceae_F	Ferrimonadaceae (F) NF=1.1
Ferrimonas_G	Ferrimonas (G) NF=1.2
Paraferrimonas_G	Paraferrimonas (G) NF=0.3
Alteromonadales_genera_incertae_sedis_N	Alteromonadales genera incertae sedis (N)
Motilimonas_G	Motilimonas (G) NF=0.8
Echinimonadaceae_F	Echinimonadaceae (F)
Neiella_G	Neiella (G) NF=0.3
Echinimonas_G	Echinimonas (G) NF=1.0
Methylococcales_O	Methylococcales (O)
Methylococcaceae_F	Methylococcaceae (F) NF=2.2
Methylobacter_G	Methylobacter (G) NF=2.6
Methylomonas_G	Methylomonas (G) NF=1.2
Methylococcus_G	Methylococcus (G) NF=1.0
Methylomarinum_G	Methylomarinum (G) NF=2.2
Methyloprofundus_G	Methyloprofundus (G) NF=12.0
Methylovulum_G	Methylovulum (G) NF=3.7
Methylomagnum_G	Methylomagnum (G) NF=4.5
Methyloglobulus_G	Methyloglobulus (G) NF=7.5
Methylomicrobium_G	Methylomicrobium (G) NF=2.6
Methylocaldum_G	Methylocaldum (G) NF=1.9
Methylocucumis_G	Methylocucumis (G) NF=0.5
Methylogaea_G	Methylogaea (G) NF=1.0
Methylosarcina_G	Methylosarcina (G) NF=6.0
Methyloterricola_G	Methyloterricola (G) NF=10.0
Crenotrichaceae_F	Crenotrichaceae (F) NF=13.0
Crenothrix_G	Crenothrix (G) NF=16.2
Methylothermaceae_F	Methylothermaceae (F) NF=3.0
Methylohalobius_G	Methylohalobius (G) NF=1.0
Methylomarinovum_G	Methylomarinovum (G) NF=5.0
Oceanospirillales_O	Oceanospirillales (O)
Halomonadaceae_F	Halomonadaceae (F) NF=1.3
Halomonas_G	Halomonas (G) NF=1.7
Cobetia_G	Cobetia (G) NF=0.5
Chromohalobacter_G	Chromohalobacter (G) NF=1.9
Salinicola_G	Salinicola (G) NF=0.4
Modicisalibacter_G	Modicisalibacter (G) NF=0.1
Kushneria_G	Kushneria (G) NF=0.5
Larsenimonas_G	Larsenimonas (G) NF=0.3
Halovibrio_G	Halovibrio (G) NF=0.8
Aidingimonas_G	Aidingimonas (G) NF=2.0
Zymobacter_group_N	Zymobacter group (N)
Zymobacter_G	Zymobacter (G) NF=0.3
Pistricoccus_G	Pistricoccus (G) NF=1.0
Halotalea_G	Halotalea (G) NF=3.0
Carnimonas_G	Carnimonas (G) NF=5.0
Salicola_G	Salicola (G) NF=3.0
Oceanospirillaceae_F	Oceanospirillaceae (F) NF=1.3
Marinomonas_G	Marinomonas (G) NF=1.1
Thalassolituus_G	Thalassolituus (G) NF=0.7
Marinobacterium_G	Marinobacterium (G) NF=1.7
Neptunomonas_G	Neptunomonas (G) NF=2.0
Neptuniibacter_G	Neptuniibacter (G) NF=0.8
Motiliproteus_G	Motiliproteus (G) NF=4.0
Amphritea_G	Amphritea (G) NF=1.1
Oleispira_G	Oleispira (G) NF=5.5
Bermanella_G	Bermanella (G) NF=0.6
Oceanospirillum_G	Oceanospirillum (G) NF=3.0
Nitrincola_G	Nitrincola (G) NF=0.5
Marinospirillum_G	Marinospirillum (G) NF=1.2
Pontibacterium_G	Pontibacterium (G) NF=1.0
Oceanobacter_G	Oceanobacter (G) NF=1.8
Bacterioplanes_G	Bacterioplanes (G) NF=1.0
Litoribrevibacter_G	Litoribrevibacter (G) NF=1.5
Litoribacillus_G	Litoribacillus (G) NF=1.0
Allopseudospirillum_G	Allopseudospirillum (G) NF=2.0
Oceaniserpentilla_G	Oceaniserpentilla (G) NF=3.0
Alcanivoracaceae_F	Alcanivoracaceae (F) NF=1.7
Alcanivorax_G	Alcanivorax (G) NF=1.6
Endozoicomonadaceae_F	Endozoicomonadaceae (F) NF=2.2
Endozoicomonas_G	Endozoicomonas (G) NF=2.6
Kistimonas_G	Kistimonas (G) NF=2.0
Saccharospirillaceae_F	Saccharospirillaceae (F) NF=2.6
Reinekea_G	Reinekea (G) NF=2.4
Saccharospirillum_G	Saccharospirillum (G) NF=1.1
Salinispirillum_G	Salinispirillum (G) NF=1.0
Gynuella_G	Gynuella (G) NF=1.5
Oleiphilaceae_F	Oleiphilaceae (F) NF=0.9
Oleiphilus_G	Oleiphilus (G) NF=1.0
Hahellaceae_F	Hahellaceae (F) NF=1.3
Hahella_G	Hahella (G) NF=2.0
Allohahella_G	Allohahella (G) NF=0.5
Pleioneaceae_F	Pleioneaceae (F) NF=1.7
Aliikangiella_G	Aliikangiella (G) NF=3.2
Pleionea_G	Pleionea (G) NF=0.2
Balneatrichaceae_F	Balneatrichaceae (F) NF=0.4
Balneatrix_G	Balneatrix (G) NF=1.0
Zooshikellaceae_F	Zooshikellaceae (F) NF=0.2
Zooshikella_G	Zooshikella (G) NF=0.5
Oceanospirillales_incertae_sedis_N	Oceanospirillales incertae sedis (N)
Terasakiispira_G	Terasakiispira (G) NF=4.0
Cellvibrionales_O	Cellvibrionales (O)
Halieaceae_F	Halieaceae (F) NF=4.7
Luminiphilus_G	Luminiphilus (G) NF=8.7
Halioglobus_G	Halioglobus (G) NF=15.0
Haliea_G	Haliea (G) NF=1.6
Congregibacter_G	Congregibacter (G) NF=1.4
Parahaliea_G	Parahaliea (G) NF=6.0
Chromatocurvus_G	Chromatocurvus (G) NF=2.0
Pseudohaliea_G	Pseudohaliea (G) NF=10.5
Marimicrobium_G	Marimicrobium (G) NF=4.0
Porticoccaceae_F	Porticoccaceae (F) NF=4.3
Porticoccus_G	Porticoccus (G) NF=6.0
Cellvibrionaceae_F	Cellvibrionaceae (F) NF=2.5
Cellvibrio_G	Cellvibrio (G) NF=3.4
Teredinibacter_G	Teredinibacter (G) NF=1.2
Gilvimarinus_G	Gilvimarinus (G) NF=0.7
Marinimicrobium_G	Marinimicrobium (G) NF=1.8
Saccharophagus_G	Saccharophagus (G) NF=1.3
Marinagarivorans_G	Marinagarivorans (G) NF=0.7
Simiduia_G	Simiduia (G) NF=0.6
Pseudoteredinibacter_G	Pseudoteredinibacter (G) NF=1.5
Pseudomaricurvus_G	Pseudomaricurvus (G) NF=2.2
Agarilytica_G	Agarilytica (G) NF=1.7
Marinibactrum_G	Marinibactrum (G) NF=1.0
Agaribacterium_G	Agaribacterium (G) NF=1.5
Umboniibacter_G	Umboniibacter (G) NF=1.5
Maricurvus_G	Maricurvus (G) NF=3.0
Spongiibacteraceae_F	Spongiibacteraceae (F) NF=4.2
Spongiibacter_G	Spongiibacter (G) NF=1.1
Zhongshania_G	Zhongshania (G) NF=1.0
Oceanicoccus_G	Oceanicoccus (G) NF=1.0
Dasania_G	Dasania (G) NF=2.0
Sinobacterium_G	Sinobacterium (G) NF=1.3
Microbulbiferaceae_F	Microbulbiferaceae (F) NF=0.4
Microbulbifer_G	Microbulbifer (G) NF=0.4
Steroidobacterales_O	Steroidobacterales (O)
Steroidobacteraceae_F	Steroidobacteraceae (F) NF=15.3
Steroidobacter_G	Steroidobacter (G) NF=8.6
Povalibacter_G	Povalibacter (G) NF=1.0
Woeseiales_O	Woeseiales (O)
Woeseiaceae_F	Woeseiaceae (F) NF=36.1
Woeseia_G	Woeseia (G) NF=82.7
Chromatiales_O	Chromatiales (O)
Chromatiaceae_F	Chromatiaceae (F) NF=1.9
Rheinheimera_G	Rheinheimera (G) NF=1.9
Thiocapsa_G	Thiocapsa (G) NF=0.6
Thiodictyon_G	Thiodictyon (G) NF=0.7
Thiohalocapsa_G	Thiohalocapsa (G) NF=6.2
Halochromatium_G	Halochromatium (G) NF=5.2
Marichromatium_G	Marichromatium (G) NF=0.6
Nitrosococcus_G	Nitrosococcus (G) NF=1.2
Thiocystis_G	Thiocystis (G) NF=2.0
Chromatium_G	Chromatium (G) NF=3.0
Thiorhodovibrio_G	Thiorhodovibrio (G) NF=1.2
Allochromatium_G	Allochromatium (G) NF=1.4
Thiorhodococcus_G	Thiorhodococcus (G) NF=0.6
Thiococcus_G	Thiococcus (G) NF=2.0
Rhabdochromatium_G	Rhabdochromatium (G) NF=1.0
Thioflavicoccus_G	Thioflavicoccus (G) NF=2.0
Thioalkalicoccus_G	Thioalkalicoccus (G) NF=3.0
Imhoffiella_G	Imhoffiella (G) NF=1.0
Thiobaca_G	Thiobaca (G) NF=1.0
Ectothiorhodospiraceae_F	Ectothiorhodospiraceae (F) NF=2.2
Thioalkalivibrio_G	Thioalkalivibrio (G) NF=0.3
Spiribacter_G	Spiribacter (G) NF=0.6
Halorhodospira_G	Halorhodospira (G) NF=2.0
Ectothiorhodospira_G	Ectothiorhodospira (G) NF=0.8
Thiogranum_G	Thiogranum (G) NF=21.3
Alkalilimnicola_G	Alkalilimnicola (G) NF=0.5
Acidihalobacter_G	Acidihalobacter (G) NF=1.7
Aquisalimonas_G	Aquisalimonas (G) NF=1.0
Arhodomonas_G	Arhodomonas (G) NF=1.2
Nitrococcus_G	Nitrococcus (G) NF=1.5
Ectothiorhodosinus_G	Ectothiorhodosinus (G) NF=1.0
Thioalbus_G	Thioalbus (G) NF=10.0
Thiorhodospira_G	Thiorhodospira (G) NF=2.0
Inmirania_G	Inmirania (G) NF=11.0
Granulosicoccaceae_F	Granulosicoccaceae (F) NF=3.4
Granulosicoccus_G	Granulosicoccus (G) NF=8.3
Sulfuriflexus_G	Sulfuriflexus (G) NF=1.0
Wenzhouxiangellaceae_F	Wenzhouxiangellaceae (F) NF=0.9
Wenzhouxiangella_G	Wenzhouxiangella (G) NF=1.2
Halothiobacillaceae_F	Halothiobacillaceae (F) NF=3.5
Halothiobacillus_G	Halothiobacillus (G) NF=1.1
Thiofaba_G	Thiofaba (G) NF=13.0
Thioalkalibacteraceae_F	Thioalkalibacteraceae (F) NF=0.6
Guyparkeria_G	Guyparkeria (G) NF=0.4
Thioalkalispiraceae_F	Thioalkalispiraceae (F) NF=156.0
Sedimenticolaceae_F	Sedimenticolaceae (F)
Thiolapillus_G	Thiolapillus (G) NF=2.0
Sedimenticola_G	Sedimenticola (G) NF=4.1
Oceanococcaceae_F	Oceanococcaceae (F)
Oceanococcus_G	Oceanococcus (G) NF=1.8
Orbales_O	Orbales (O)
Orbaceae_F	Orbaceae (F) NF=0.2
Gilliamella_G	Gilliamella (G) NF=0.1
Frischella_G	Frischella (G) NF=1.0
Orbus_G	Orbus (G) NF=1.2
Nevskiales_O	Nevskiales (O)
Nevskiaceae_F	Nevskiaceae (F) NF=2.7
Nevskia_G	Nevskia (G) NF=6.0
Sinimarinibacterium_G	Sinimarinibacterium (G) NF=0.2
Solimonas_G	Solimonas (G) NF=1.1
Hydrocarboniphaga_G	Hydrocarboniphaga (G) NF=2.5
Polycyclovorans_G	Polycyclovorans (G) NF=11.3
Panacagrimonas_G	Panacagrimonas (G) NF=2.0
Fontimonas_G	Fontimonas (G) NF=3.0
Algiphilaceae_F	Algiphilaceae (F) NF=1.5
Algiphilus_G	Algiphilus (G) NF=2.0
Acidiferrobacterales_O	Acidiferrobacterales (O)
Acidiferrobacteraceae_F	Acidiferrobacteraceae (F) NF=10.6
Acidiferrobacter_G	Acidiferrobacter (G) NF=0.2
Sulfuricaulis_G	Sulfuricaulis (G) NF=3.0
Sulfurifustis_G	Sulfurifustis (G) NF=38.0
Cardiobacteriales_O	Cardiobacteriales (O)
Cardiobacteriaceae_F	Cardiobacteriaceae (F) NF=11.6
Cardiobacterium_G	Cardiobacterium (G) NF=9.0
Dichelobacter_G	Dichelobacter (G) NF=1.0
Suttonella_G	Suttonella (G) NF=2.7
Ignatzschineriaceae_F	Ignatzschineriaceae (F) NF=0.2
Wohlfahrtiimonas_G	Wohlfahrtiimonas (G) NF=0.2
Ignatzschineria_G	Ignatzschineria (G) NF=0.3
Kangiellales_O	Kangiellales (O)
Kangiellaceae_F	Kangiellaceae (F) NF=1.3
Kangiella_G	Kangiella (G) NF=0.9
Arenicellales_O	Arenicellales (O)
Arenicellaceae_F	Arenicellaceae (F) NF=28.4
Arenicella_G	Arenicella (G) NF=3.2
Salinisphaerales_O	Salinisphaerales (O)
Salinisphaeraceae_F	Salinisphaeraceae (F) NF=1.6
Salinisphaera_G	Salinisphaera (G) NF=1.9
Immundisolibacterales_O	Immundisolibacterales (O)
Immundisolibacteraceae_F	Immundisolibacteraceae (F) NF=12.3
Immundisolibacter_G	Immundisolibacter (G) NF=5.5
Gammaproteobacteria_incertae_sedis_N	Gammaproteobacteria incertae sedis (N)
Celerinatantimonadaceae_F	Celerinatantimonadaceae (F) NF=0.8
Celerinatantimonas_G	Celerinatantimonas (G) NF=0.8
Litorivivens_G	Litorivivens (G) NF=2.5
Candidatus_Competibacteraceae_F	Candidatus Competibacteraceae (F)
Plasticicumulans_G	Plasticicumulans (G) NF=2.7
Acidibacter_G	Acidibacter (G) NF=83.0
Alkalimonas_G	Alkalimonas (G) NF=0.7
Halospina_G	Halospina (G) NF=1.3
Methylonatrum_G	Methylonatrum (G) NF=6.0
Thiohalobacterales_O	Thiohalobacterales (O)
Thiohalobacteraceae_F	Thiohalobacteraceae (F)
Thiohalobacter_G	Thiohalobacter (G) NF=2.0
Thiohalomonadales_O	Thiohalomonadales (O)
Thiohalophilaceae_F	Thiohalophilaceae (F)
Thiohalophilus_G	Thiohalophilus (G) NF=20.7
Thiohalomonadaceae_F	Thiohalomonadaceae (F)
Thiohalomonas_G	Thiohalomonas (G) NF=2.7
Thiohalospirales_O	Thiohalospirales (O)
Thiohalospiraceae_F	Thiohalospiraceae (F)
Thiohalospira_G	Thiohalospira (G) NF=1.0
Thiohalorhabdales_O	Thiohalorhabdales (O)
Thiohalorhabdaceae_F	Thiohalorhabdaceae (F)
Thiohalorhabdus_G	Thiohalorhabdus (G) NF=9.0
Methylohalomonadales_O	Methylohalomonadales (O)
Methylohalomonadaceae_F	Methylohalomonadaceae (F)
Methylohalomonas_G	Methylohalomonas (G) NF=5.0
