LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Haliscomenobacteraceae_F	Haliscomenobacteraceae (F) NF=18.5
Haliscomenobacter_G	Haliscomenobacter (G) NF=10.3
Phaeodactylibacter_G	Phaeodactylibacter (G) NF=34.0
Portibacter_G	Portibacter (G) NF=18.3
Cytophagia_C	Cytophagia (C)
Cytophagales_O	Cytophagales (O)
Cyclobacteriaceae_F	Cyclobacteriaceae (F) NF=4.1
Algoriphagus_G	Algoriphagus (G) NF=1.8
Cyclobacterium_G	Cyclobacterium (G) NF=1.3
Echinicola_G	Echinicola (G) NF=0.9
Belliella_G	Belliella (G) NF=0.6
Aquiflexum_G	Aquiflexum (G) NF=1.5
Cecembia_G	Cecembia (G) NF=1.2
Lunatimonas_G	Lunatimonas (G) NF=1.7
Mongoliitalea_G	Mongoliitalea (G) NF=1.0
Litoribacter_G	Litoribacter (G) NF=0.5
Mongoliibacter_G	Mongoliibacter (G) NF=0.5
Mariniradius_G	Mariniradius (G) NF=2.0
Shivajiella_G	Shivajiella (G) NF=2.0
Nitritalea_G	Nitritalea (G) NF=1.0
Indibacter_G	Indibacter (G) NF=3.0
Fontibacter_G	Fontibacter (G) NF=3.0
Negadavirga_G	Negadavirga (G) NF=5.0
Hymenobacteraceae_F	Hymenobacteraceae (F) NF=1.8
Hymenobacter_G	Hymenobacter (G) NF=1.6
Pontibacter_G	Pontibacter (G) NF=1.4
Rufibacter_G	Rufibacter (G) NF=0.8
Adhaeribacter_G	Adhaeribacter (G) NF=7.5
Nibribacter_G	Nibribacter (G) NF=2.0
Cytophagaceae_F	Cytophagaceae (F) NF=4.2
Spirosoma_G	Spirosoma (G) NF=2.6
Siphonobacter_G	Siphonobacter (G) NF=1.4
Cytophaga_G	Cytophaga (G) NF=18.8
Rhodonellum_G	Rhodonellum (G) NF=0.3
Sporocytophaga_G	Sporocytophaga (G) NF=21.0
Rudanella_G	Rudanella (G) NF=1.3
Anditalea_G	Anditalea (G) NF=1.0
Rhabdobacter_G	Rhabdobacter (G) NF=4.0
Reichenbachiellaceae_F	Reichenbachiellaceae (F) NF=5.8
Ekhidna_G	Ekhidna (G) NF=7.2
Marinoscillum_G	Marinoscillum (G) NF=10.6
Reichenbachiella_G	Reichenbachiella (G) NF=2.5
Flammeovirgaceae_F	Flammeovirgaceae (F) NF=1.3
Flammeovirga_G	Flammeovirga (G) NF=0.5
Imperialibacter_G	Imperialibacter (G) NF=2.8
Algivirga_G	Algivirga (G) NF=4.0
Flexithrix_G	Flexithrix (G) NF=19.0
Rapidithrix_G	Rapidithrix (G) NF=9.0
Limibacter_G	Limibacter (G) NF=1.0
Sediminitomix_G	Sediminitomix (G) NF=1.0
Roseivirgaceae_F	Roseivirgaceae (F) NF=0.7
Roseivirga_G	Roseivirga (G) NF=0.7
Fulvivirgaceae_F	Fulvivirgaceae (F) NF=5.3
Chryseolinea_G	Chryseolinea (G) NF=11.6
Ohtaekwangia_G	Ohtaekwangia (G) NF=13.5
Fulvivirga_G	Fulvivirga (G) NF=2.1
Amoebophilaceae_F	Amoebophilaceae (F) NF=6.8
Marivirgaceae_F	Marivirgaceae (F) NF=1.8
Marivirga_G	Marivirga (G) NF=1.8
Catalimonadaceae_F	Catalimonadaceae (F) NF=2.4
Catalinimonas_G	Catalinimonas (G) NF=2.3
Tunicatimonas_G	Tunicatimonas (G) NF=7.5
Bernardetiaceae_F	Bernardetiaceae (F) NF=2.2
Bernardetia_G	Bernardetia (G) NF=0.8
Hugenholtzia_G	Hugenholtzia (G) NF=9.0
Microscillaceae_F	Microscillaceae (F) NF=102.8
Microscilla_G	Microscilla (G) NF=4.0
Eisenibacter_G	Eisenibacter (G) NF=2.0
Raineyaceae_F	Raineyaceae (F) NF=5.0
Raineya_G	Raineya (G) NF=7.5
Persicobacteraceae_F	Persicobacteraceae (F) NF=0.6
Persicobacter_G	Persicobacter (G) NF=0.4
Aureibacter_G	Aureibacter (G) NF=1.0
Fulvitalea_G	Fulvitalea (G) NF=1.0
Thermonemataceae_F	Thermonemataceae (F) NF=0.5
Thermonema_G	Thermonema (G) NF=0.7
Cesiribacteraceae_F	Cesiribacteraceae (F) NF=2.2
Cesiribacter_G	Cesiribacter (G) NF=2.0
Nafulsella_G	Nafulsella (G) NF=5.0
Thermoflexibacteraceae_F	Thermoflexibacteraceae (F) NF=3.2
Thermoflexibacter_G	Thermoflexibacter (G) NF=6.5
Flexibacteraceae_F	Flexibacteraceae (F) NF=7.7
Flexibacter_G	Flexibacter (G) NF=9.5
Spirosomataceae_F	Spirosomataceae (F)
Dyadobacter_G	Dyadobacter (G) NF=0.9
Runella_G	Runella (G) NF=2.2
Fibrella_G	Fibrella (G) NF=1.2
Larkinella_G	Larkinella (G) NF=1.7
Telluribacter_G	Telluribacter (G) NF=0.7
Persicitalea_G	Persicitalea (G) NF=5.7
Arsenicibacter_G	Arsenicibacter (G) NF=1.0
Nibrella_G	Nibrella (G) NF=2.5
Fibrisoma_G	Fibrisoma (G) NF=3.5
Ravibacter_G	Ravibacter (G) NF=1.0
Leadbetterellaceae_F	Leadbetterellaceae (F)
Emticicia_G	Emticicia (G) NF=1.2
Leadbetterella_G	Leadbetterella (G) NF=3.2
Lacihabitans_G	Lacihabitans (G) NF=2.7
Arcticibacterium_G	Arcticibacterium (G) NF=1.3
Jiulongibacter_G	Jiulongibacter (G) NF=0.5
Flectobacillaceae_F	Flectobacillaceae (F)
Arcicella_G	Arcicella (G) NF=1.8
Flectobacillus_G	Flectobacillus (G) NF=2.2
Pseudarcicella_G	Pseudarcicella (G) NF=11.7
Rhodocytophagaceae_F	Rhodocytophagaceae (F)
Rhodocytophaga_G	Rhodocytophaga (G) NF=17.0
Ignavibacteriota_P	Ignavibacteriota (P) NF=0.1
Ignavibacteria_C	Ignavibacteria (C)
Ignavibacteriales_O	Ignavibacteriales (O)
Melioribacteraceae_F	Melioribacteraceae (F) NF=0.2
Chlorobiota_P	Chlorobiota (P) NF=0.1
Chlorobiia_C	Chlorobiia (C)
Chlorobiales_O	Chlorobiales (O)
Chlorobiaceae_F	Chlorobiaceae (F) NF=0.1
Prosthecochloris_G	Prosthecochloris (G) NF=0.2
Chloroherpetonaceae_F	Chloroherpetonaceae (F) NF=0.2
Rhodothermota_P	Rhodothermota (P)
Rhodothermia_C	Rhodothermia (C)
Rhodothermales_O	Rhodothermales (O)
Rhodothermaceae_F	Rhodothermaceae (F) NF=73.4
Rhodothermus_G	Rhodothermus (G) NF=2.6
Salinibacteraceae_F	Salinibacteraceae (F)
Salinibacter_G	Salinibacter (G) NF=92.4
Gemmatimonadota_P	Gemmatimonadota (P) NF=20.0
Gemmatimonadia_C	Gemmatimonadia (C)
Gemmatimonadales_O	Gemmatimonadales (O)
Gemmatimonadaceae_F	Gemmatimonadaceae (F) NF=67.9
Gemmatimonas_G	Gemmatimonas (G) NF=33.2
Gemmatirosa_G	Gemmatirosa (G) NF=9.0
Roseisolibacter_G	Roseisolibacter (G) NF=7.7
Longimicrobiia_C	Longimicrobiia (C)
Longimicrobiales_O	Longimicrobiales (O)
Longimicrobiaceae_F	Longimicrobiaceae (F) NF=100.3
Longimicrobium_G	Longimicrobium (G) NF=11.5
Fibrobacterota_P	Fibrobacterota (P) NF=8.2
Fibrobacteria_C	Fibrobacteria (C)
Fibrobacterales_O	Fibrobacterales (O)
Fibrobacteraceae_F	Fibrobacteraceae (F) NF=5.2
Fibrobacter_G	Fibrobacter (G) NF=1.8
Chitinispirillia_C	Chitinispirillia (C)
Chitinispirillales_O	Chitinispirillales (O)
Chitinispirillaceae_F	Chitinispirillaceae (F) NF=0.3
Chitinispirillum_G	Chitinispirillum (G) NF=0.5
Chitinivibrionia_C	Chitinivibrionia (C)
Chitinivibrionales_O	Chitinivibrionales (O)
Chitinivibrionaceae_F	Chitinivibrionaceae (F) NF=22.0
Chitinivibrio_G	Chitinivibrio (G) NF=2.0
Acidobacteriota_P	Acidobacteriota (P) NF=24.7
Terriglobia_C	Terriglobia (C)
Terriglobales_O	Terriglobales (O)
Acidobacteriaceae_F	Acidobacteriaceae (F) NF=3.1
Terracidiphilus_G	Terracidiphilus (G) NF=0.7
Granulicella_G	Granulicella (G) NF=3.1
Chloracidobacterium_G	Chloracidobacterium (G) NF=0.8
Edaphobacter_G	Edaphobacter (G) NF=0.9
Terriglobus_G	Terriglobus (G) NF=1.2
Acidobacterium_G	Acidobacterium (G) NF=1.5
Silvibacterium_G	Silvibacterium (G) NF=0.2
Bryocella_G	Bryocella (G) NF=3.7
Acidipila_G	Acidipila (G) NF=0.5
Acidicapsa_G	Acidicapsa (G) NF=1.7
Occallatibacter_G	Occallatibacter (G) NF=27.5
Telmatobacter_G	Telmatobacter (G) NF=0.5
Bryobacterales_O	Bryobacterales (O)
Bryobacteraceae_F	Bryobacteraceae (F) NF=65.0
Bryobacter_G	Bryobacter (G) NF=130.0
Paludibaculum_G	Paludibaculum (G) NF=43.3
Solibacteraceae_F	Solibacteraceae (F) NF=31.9
Blastocatellia_C	Blastocatellia (C)
Blastocatellales_O	Blastocatellales (O)
Pyrinomonadaceae_F	Pyrinomonadaceae (F) NF=109.8
Pyrinomonas_G	Pyrinomonas (G) NF=1.0
Blastocatellaceae_F	Blastocatellaceae (F) NF=143.3
Aridibacter_G	Aridibacter (G) NF=11.0
Holophagae_C	Holophagae (C)
Holophagales_O	Holophagales (O)
Holophagaceae_F	Holophagaceae (F) NF=5.0
Geothrix_G	Geothrix (G) NF=1.3
Holophaga_G	Holophaga (G) NF=7.0
Acanthopleuribacterales_O	Acanthopleuribacterales (O)
Acanthopleuribacteraceae_F	Acanthopleuribacteraceae (F) NF=15.0
Acanthopleuribacter_G	Acanthopleuribacter (G) NF=45.0
Thermotomaculales_O	Thermotomaculales (O)
Thermotomaculaceae_F	Thermotomaculaceae (F) NF=20.0
Thermotomaculum_G	Thermotomaculum (G) NF=20.0
Vicinamibacteria_C	Vicinamibacteria (C)
Vicinamibacterales_O	Vicinamibacterales (O)
Vicinamibacteraceae_F	Vicinamibacteraceae (F) NF=91.5
Luteitalea_G	Luteitalea (G) NF=8.8
Thermoanaerobaculia_C	Thermoanaerobaculia (C)
Thermoanaerobaculales_O	Thermoanaerobaculales (O)
Thermoanaerobaculaceae_F	Thermoanaerobaculaceae (F) NF=177.0
Thermoanaerobaculum_G	Thermoanaerobaculum (G) NF=14.0
PVC_group_C	PVC group (C)
Verrucomicrobiota_P	Verrucomicrobiota (P) NF=16.9
Verrucomicrobiia_C	Verrucomicrobiia (C)
Verrucomicrobiales_O	Verrucomicrobiales (O)
Akkermansiaceae_F	Akkermansiaceae (F) NF=1.6
Akkermansia_G	Akkermansia (G) NF=2.1
Verrucomicrobiaceae_F	Verrucomicrobiaceae (F) NF=8.7
Luteolibacter_G	Luteolibacter (G) NF=13.8
Prosthecobacter_G	Prosthecobacter (G) NF=5.7
Roseibacillus_G	Roseibacillus (G) NF=16.0
Haloferula_G	Haloferula (G) NF=3.6
Verrucomicrobium_G	Verrucomicrobium (G) NF=3.7
Brevifollis_G	Brevifollis (G) NF=2.5
Roseimicrobium_G	Roseimicrobium (G) NF=14.3
Persicirhabdus_G	Persicirhabdus (G) NF=38.0
Rubritaleaceae_F	Rubritaleaceae (F) NF=7.8
Rubritalea_G	Rubritalea (G) NF=5.6
Limisphaerales_O	Limisphaerales (O)
Limisphaeraceae_F	Limisphaeraceae (F)
Limisphaera_G	Limisphaera (G) NF=6.0
Opitutia_C	Opitutia (C)
Opitutales_O	Opitutales (O)
Opitutaceae_F	Opitutaceae (F) NF=8.5
Opitutus_G	Opitutus (G) NF=27.4
Lacunisphaera_G	Lacunisphaera (G) NF=61.0
Cephaloticoccus_G	Cephaloticoccus (G) NF=18.0
Ereboglobus_G	Ereboglobus (G) NF=2.5
Puniceicoccales_O	Puniceicoccales (O)
Puniceicoccaceae_F	Puniceicoccaceae (F) NF=41.8
Puniceicoccus_G	Puniceicoccus (G) NF=65.0
Coraliomargaritaceae_F	Coraliomargaritaceae (F)
Coraliomargarita_G	Coraliomargarita (G) NF=3.9
Pelagicoccaceae_F	Pelagicoccaceae (F)
Pelagicoccus_G	Pelagicoccus (G) NF=4.0
Cerasicoccaceae_F	Cerasicoccaceae (F)
Cerasicoccus_G	Cerasicoccus (G) NF=12.8
Ruficoccus_G	Ruficoccus (G) NF=1.0
Spartobacteria_C	Spartobacteria (C)
Chthoniobacterales_O	Chthoniobacterales (O)
Chthoniobacteraceae_F	Chthoniobacteraceae (F) NF=98.9
Chthoniobacter_G	Chthoniobacter (G) NF=82.0
Terrimicrobiia_C	Terrimicrobiia (C)
Terrimicrobiales_O	Terrimicrobiales (O)
Terrimicrobiaceae_F	Terrimicrobiaceae (F) NF=33.0
Terrimicrobium_G	Terrimicrobium (G) NF=38.0
Methylacidiphilae_C	Methylacidiphilae (C)
Methylacidiphilales_O	Methylacidiphilales (O)
Methylacidiphilaceae_F	Methylacidiphilaceae (F) NF=13.3
Pedosphaerae_C	Pedosphaerae (C)
Pedosphaerales_O	Pedosphaerales (O)
Pedosphaeraceae_F	Pedosphaeraceae (F)
Pedosphaera_G	Pedosphaera (G) NF=8.0
Verrucomicrobiota_incertae_sedis_N	Verrucomicrobiota incertae sedis (N)
Lentimonas_G	Lentimonas (G) NF=7.5
Methylacidimicrobium_G	Methylacidimicrobium (G) NF=0.4
Planctomycetota_P	Planctomycetota (P) NF=26.3
Planctomycetia_C	Planctomycetia (C)
Planctomycetales_O	Planctomycetales (O)
Planctomycetaceae_F	Planctomycetaceae (F) NF=2.6
Planctomyces_G	Planctomyces (G) NF=3.2
Schlesneria_G	Schlesneria (G) NF=9.0
Gimesia_G	Gimesia (G) NF=1.0
Planctomicrobium_G	Planctomicrobium (G) NF=22.3
Rubinisphaera_G	Rubinisphaera (G) NF=3.3
Planctopirus_G	Planctopirus (G) NF=19.3
Pirellulales_O	Pirellulales (O)
Pirellulaceae_F	Pirellulaceae (F) NF=30.3
Pirellula_G	Pirellula (G) NF=104.5
Rhodopirellula_G	Rhodopirellula (G) NF=14.2
Rubripirellula_G	Rubripirellula (G) NF=5.3
Blastopirellula_G	Blastopirellula (G) NF=89.9
Roseimaritima_G	Roseimaritima (G) NF=1.0
Thermoguttaceae_F	Thermoguttaceae (F) NF=4.6
Thermogutta_G	Thermogutta (G) NF=7.3
Lacipirellulaceae_F	Lacipirellulaceae (F) NF=1.1
Bythopirellula_G	Bythopirellula (G) NF=5.2
Gemmatales_O	Gemmatales (O)
Gemmataceae_F	Gemmataceae (F) NF=55.7
Fimbriiglobus_G	Fimbriiglobus (G) NF=28.0
Gemmata_G	Gemmata (G) NF=30.1
Zavarzinella_G	Zavarzinella (G) NF=2.5
Telmatocola_G	Telmatocola (G) NF=4.0
Tuwongella_G	Tuwongella (G) NF=9.0
Isosphaerales_O	Isosphaerales (O)
Isosphaeraceae_F	Isosphaeraceae (F) NF=21.4
Singulisphaera_G	Singulisphaera (G) NF=14.2
Paludisphaera_G	Paludisphaera (G) NF=2.2
Aquisphaera_G	Aquisphaera (G) NF=21.3
Isosphaera_G	Isosphaera (G) NF=11.5
Phycisphaerae_C	Phycisphaerae (C)
Phycisphaerales_O	Phycisphaerales (O)
Phycisphaeraceae_F	Phycisphaeraceae (F) NF=66.2
Phycisphaera_G	Phycisphaera (G) NF=4.9
Algisphaera_G	Algisphaera (G) NF=6.7
Tepidisphaerales_O	Tepidisphaerales (O)
Tepidisphaeraceae_F	Tepidisphaeraceae (F) NF=10.4
Tepidisphaera_G	Tepidisphaera (G) NF=24.0
Sedimentisphaerales_O	Sedimentisphaerales (O)
Sedimentisphaeraceae_F	Sedimentisphaeraceae (F) NF=0.4
Sedimentisphaera_G	Sedimentisphaera (G) NF=1.0
Chlamydiota_P	Chlamydiota (P) NF=0.1
Chlamydiia_C	Chlamydiia (C)
Chlamydiales_O	Chlamydiales (O)
Chlamydiaceae_F	Chlamydiaceae (F) NF=0.2
Chlamydia/Chlamydophila_group_N	Chlamydia/Chlamydophila group (N)
Chlamydia_G	Chlamydia (G) NF=0.2
Parachlamydiales_O	Parachlamydiales (O)
Parachlamydiaceae_F	Parachlamydiaceae (F) NF=0.3
Simkaniaceae_F	Simkaniaceae (F) NF=0.1
Thermodesulfobacteriota_P	Thermodesulfobacteriota (P) NF=6.9
Desulfovibrionia_C	Desulfovibrionia (C)
Desulfovibrionales_O	Desulfovibrionales (O)
Desulfovibrionaceae_F	Desulfovibrionaceae (F) NF=3.3
Desulfovibrio_G	Desulfovibrio (G) NF=5.9
Mailhella_G	Mailhella (G) NF=1.3
Bilophila_G	Bilophila (G) NF=5.2
Pseudodesulfovibrio_G	Pseudodesulfovibrio (G) NF=0.4
Halodesulfovibrio_G	Halodesulfovibrio (G) NF=2.0
Desulfocurvus_G	Desulfocurvus (G) NF=1.7
Desulfobaculum_G	Desulfobaculum (G) NF=0.7
Desulfohalobiaceae_F	Desulfohalobiaceae (F) NF=9.6
Desulfovermiculus_G	Desulfovermiculus (G) NF=32.5
Desulfohalobium_G	Desulfohalobium (G) NF=2.0
Desulfonatronovibrionaceae_F	Desulfonatronovibrionaceae (F) NF=1.5
Desulfonatronovibrio_G	Desulfonatronovibrio (G) NF=1.0
Desulfonatronospira_G	Desulfonatronospira (G) NF=2.0
Desulfomicrobiaceae_F	Desulfomicrobiaceae (F) NF=3.5
Desulfomicrobium_G	Desulfomicrobium (G) NF=4.6
Desulfonatronaceae_F	Desulfonatronaceae (F) NF=1.9
Desulfonatronum_G	Desulfonatronum (G) NF=2.1
Desulfonauticaceae_F	Desulfonauticaceae (F) NF=0.6
Desulfonauticus_G	Desulfonauticus (G) NF=0.8
Desulfoplanaceae_F	Desulfoplanaceae (F) NF=6.5
Desulfoplanes_G	Desulfoplanes (G) NF=6.5
Desulfothermaceae_F	Desulfothermaceae (F)
Desulfothermus_G	Desulfothermus (G) NF=6.0
Desulfobacteria_C	Desulfobacteria (C)
Desulfobacterales_O	Desulfobacterales (O)
Desulfobacteraceae_F	Desulfobacteraceae (F) NF=9.4
Desulfobacula_G	Desulfobacula (G) NF=2.0
Desulfobacter_G	Desulfobacter (G) NF=6.4
Desulfotignum_G	Desulfotignum (G) NF=6.5
Desulfospira_G	Desulfospira (G) NF=1.0
Desulfobotulus_G	Desulfobotulus (G) NF=2.2
Desulfosarcinaceae_F	Desulfosarcinaceae (F) NF=37.2
Desulfosarcina_G	Desulfosarcina (G) NF=2.2
Desulfatitalea_G	Desulfatitalea (G) NF=3.8
Desulfococcaceae_F	Desulfococcaceae (F) NF=14.6
Desulfonema_G	Desulfonema (G) NF=25.2
Desulfococcus_G	Desulfococcus (G) NF=1.8
Desulfosalsimonadaceae_F	Desulfosalsimonadaceae (F) NF=5.3
Desulfosalsimonas_G	Desulfosalsimonas (G) NF=3.5
Desulfobacteriaceae_F	Desulfobacteriaceae (F) NF=10.7
Desulfobacterium_G	Desulfobacterium (G) NF=10.7
Desulfatibacillaceae_F	Desulfatibacillaceae (F) NF=1.6
Desulfatibacillum_G	Desulfatibacillum (G) NF=2.0
Desulfatirhabdiaceae_F	Desulfatirhabdiaceae (F) NF=8.7
Desulfatirhabdium_G	Desulfatirhabdium (G) NF=13.0
Desulfolunaceae_F	Desulfolunaceae (F) NF=3.6
Desulfoluna_G	Desulfoluna (G) NF=0.8
Desulforegulaceae_F	Desulforegulaceae (F) NF=1.5
Desulforegula_G	Desulforegula (G) NF=3.0
Desulfoarculaceae_F	Desulfoarculaceae (F) NF=2.0
Desulfatiglandales_O	Desulfatiglandales (O)
Desulfatiglandaceae_F	Desulfatiglandaceae (F)
Desulfatiglans_G	Desulfatiglans (G) NF=123.7
Desulfobulbia_C	Desulfobulbia (C)
Desulfobulbales_O	Desulfobulbales (O)
Desulfobulbaceae_F	Desulfobulbaceae (F) NF=4.3
Desulfobulbus_G	Desulfobulbus (G) NF=6.0
Desulfurivibrio_G	Desulfurivibrio (G) NF=5.8
Desulfoprunum_G	Desulfoprunum (G) NF=2.5
Desulfocapsaceae_F	Desulfocapsaceae (F) NF=21.6
Desulfocapsa_G	Desulfocapsa (G) NF=24.4
Desulfofustis_G	Desulfofustis (G) NF=2.8
Desulfopila_G	Desulfopila (G) NF=7.7
Desulforhopalus_G	Desulforhopalus (G) NF=9.8
Desulfotalea_G	Desulfotalea (G) NF=7.0
Desulfuromonadia_C	Desulfuromonadia (C)
Geobacterales_O	Geobacterales (O)
Geobacteraceae_F	Geobacteraceae (F) NF=4.9
Geobacter_G	Geobacter (G) NF=4.4
Trichlorobacter_G	Trichlorobacter (G) NF=2.0
Geotalea_G	Geotalea (G) NF=0.8
Citrifermentans_G	Citrifermentans (G) NF=37.5
Desulfuromonadales_O	Desulfuromonadales (O)
Desulfuromonadaceae_F	Desulfuromonadaceae (F) NF=4.9
Desulfuromonas_G	Desulfuromonas (G) NF=6.2
Pelobacter_G	Pelobacter (G) NF=2.7
Geopsychrobacteraceae_F	Geopsychrobacteraceae (F) NF=6.7
Desulfuromusa_G	Desulfuromusa (G) NF=13.3
Geopsychrobacter_G	Geopsychrobacter (G) NF=3.7
Malonomonas_G	Malonomonas (G) NF=4.0
Syntrophotaleaceae_F	Syntrophotaleaceae (F) NF=3.5
Syntrophotalea_G	Syntrophotalea (G) NF=4.2
Geoalkalibacteraceae_F	Geoalkalibacteraceae (F) NF=4.5
Geoalkalibacter_G	Geoalkalibacter (G) NF=4.5
Geothermobacteraceae_F	Geothermobacteraceae (F) NF=8.0
Geothermobacter_G	Geothermobacter (G) NF=10.7
Syntrophia_C	Syntrophia (C)
Syntrophales_O	Syntrophales (O)
Syntrophaceae_F	Syntrophaceae (F) NF=2.4
Smithellaceae_F	Smithellaceae (F) NF=5.6
Smithella_G	Smithella (G) NF=5.9
Syntrophobacteria_C	Syntrophobacteria (C)
Syntrophobacterales_O	Syntrophobacterales (O)
Syntrophobacteraceae_F	Syntrophobacteraceae (F) NF=8.5
Syntrophobacter_G	Syntrophobacter (G) NF=19.2
Desulfosoma_G	Desulfosoma (G) NF=0.3
Desulforhabdus_G	Desulforhabdus (G) NF=3.7
Desulfacinum_G	Desulfacinum (G) NF=0.7
Desulfoglaeba_G	Desulfoglaeba (G) NF=1.0
Thermodesulforhabdaceae_F	Thermodesulforhabdaceae (F) NF=6.0
Thermodesulforhabdus_G	Thermodesulforhabdus (G) NF=12.0
Syntrophorhabdia_C	Syntrophorhabdia (C)
Syntrophorhabdales_O	Syntrophorhabdales (O)
Syntrophorhabdaceae_F	Syntrophorhabdaceae (F) NF=11.6
Syntrophorhabdus_G	Syntrophorhabdus (G) NF=14.7
Thermodesulfobacteria_C	Thermodesulfobacteria (C)
Thermodesulfobacteriales_O	Thermodesulfobacteriales (O)
Thermodesulfobacteriaceae_F	Thermodesulfobacteriaceae (F) NF=3.8
Thermodesulfobacterium_G	Thermodesulfobacterium (G) NF=0.9
Caldimicrobium_G	Caldimicrobium (G) NF=9.0
Thermosulfurimonas_G	Thermosulfurimonas (G) NF=0.8
Thermosulfuriphilus_G	Thermosulfuriphilus (G) NF=1.0
Thermodesulfatatoraceae_F	Thermodesulfatatoraceae (F) NF=1.2
Thermodesulfatator_G	Thermodesulfatator (G) NF=1.2
Desulfomonilia_C	Desulfomonilia (C)
Desulfomonilales_O	Desulfomonilales (O)
Desulfomonilaceae_F	Desulfomonilaceae (F) NF=15.5
Desulfomonile_G	Desulfomonile (G) NF=20.7
Desulfarculia_C	Desulfarculia (C)
Desulfarculales_O	Desulfarculales (O)
Desulfarculaceae_F	Desulfarculaceae (F) NF=3.0
Desulfarculus_G	Desulfarculus (G) NF=1.0
Dethiosulfatarculus_G	Dethiosulfatarculus (G) NF=2.0
Desulfocarbo_G	Desulfocarbo (G) NF=17.0
Desulfobaccia_C	Desulfobaccia (C)
Desulfobaccales_O	Desulfobaccales (O)
Desulfobaccaceae_F	Desulfobaccaceae (F) NF=16.5
Desulfobacca_G	Desulfobacca (G) NF=16.5
Deferrisomatia_C	Deferrisomatia (C)
Deferrisomatales_O	Deferrisomatales (O)
Deferrisomataceae_F	Deferrisomataceae (F) NF=48.0
Deferrisoma_G	Deferrisoma (G) NF=48.0
Dissulfuribacteria_C	Dissulfuribacteria (C)
Dissulfuribacterales_O	Dissulfuribacterales (O)
Dissulfuribacteraceae_F	Dissulfuribacteraceae (F) NF=41.0
Dissulfuribacter_G	Dissulfuribacter (G) NF=6.0
Spirochaetota_P	Spirochaetota (P) NF=6.8
Spirochaetia_C	Spirochaetia (C)
Spirochaetales_O	Spirochaetales (O)
Treponemataceae_F	Treponemataceae (F) NF=5.0
Treponema_G	Treponema (G) NF=7.7
Borreliaceae_F	Borreliaceae (F) NF=0.5
Borreliella_G	Borreliella (G) NF=0.1
Borrelia_G	Borrelia (G) NF=0.6
Spirochaetaceae_F	Spirochaetaceae (F) NF=27.3
Spirochaeta_G	Spirochaeta (G) NF=65.9
Alkalispirochaeta_G	Alkalispirochaeta (G) NF=3.8
Sediminispirochaeta_G	Sediminispirochaeta (G) NF=45.2
Oceanispirochaeta_G	Oceanispirochaeta (G) NF=0.8
Salinispira_G	Salinispira (G) NF=9.7
Sphaerochaetaceae_F	Sphaerochaetaceae (F) NF=7.9
Sphaerochaeta_G	Sphaerochaeta (G) NF=9.7
Pleomorphochaeta_G	Pleomorphochaeta (G) NF=1.5
Rectinemataceae_F	Rectinemataceae (F) NF=0.3
Rectinema_G	Rectinema (G) NF=0.5
Spirochaetales_incertae_sedis_N	Spirochaetales incertae sedis (N)
Exilispira_G	Exilispira (G) NF=17.0
Leptospirales_O	Leptospirales (O)
Leptospiraceae_F	Leptospiraceae (F) NF=2.7
Leptospira_G	Leptospira (G) NF=0.7
Turneriella_G	Turneriella (G) NF=14.0
Brachyspirales_O	Brachyspirales (O)
Brachyspiraceae_F	Brachyspiraceae (F) NF=1.3
Brachyspira_G	Brachyspira (G) NF=1.4
Brevinematales_O	Brevinematales (O)
Brevinemataceae_F	Brevinemataceae (F) NF=20.3
Brevinema_G	Brevinema (G) NF=20.3
Myxococcota_P	Myxococcota (P) NF=14.3
Polyangiales_O	Polyangiales (O)
Polyangiaceae_F	Polyangiaceae (F) NF=10.3
Sorangium_G	Sorangium (G) NF=6.6
Polyangium_G	Polyangium (G) NF=1.2
Byssovorax_G	Byssovorax (G) NF=0.5
Minicystis_G	Minicystis (G) NF=8.0
Chondromyces_G	Chondromyces (G) NF=1.7
Aetherobacter_G	Aetherobacter (G) NF=19.0
Pajaroellobacter_G	Pajaroellobacter (G) NF=195.0
Sandaracinaceae_F	Sandaracinaceae (F) NF=60.0
Sandaracinus_G	Sandaracinus (G) NF=26.0
Labilitrichaceae_F	Labilitrichaceae (F) NF=1.7
Labilithrix_G	Labilithrix (G) NF=1.7
Haliangiales_O	Haliangiales (O)
Kofleriaceae_F	Kofleriaceae (F) NF=124.8
Haliangium_G	Haliangium (G) NF=187.0
Nannocystales_O	Nannocystales (O)
Nannocystaceae_F	Nannocystaceae (F) NF=6.6
Nannocystis_G	Nannocystis (G) NF=5.8
Enhygromyxa_G	Enhygromyxa (G) NF=4.3
Pseudenhygromyxa_G	Pseudenhygromyxa (G) NF=4.0
Plesiocystis_G	Plesiocystis (G) NF=2.0
Myxococcia_C	Myxococcia (C)
Myxococcales_O	Myxococcales (O)
Myxococcaceae_F	Myxococcaceae (F) NF=4.5
Corallococcus_G	Corallococcus (G) NF=0.2
Myxococcus_G	Myxococcus (G) NF=0.5
Aggregicoccus_G	Aggregicoccus (G) NF=1.0
Anaeromyxobacteraceae_F	Anaeromyxobacteraceae (F) NF=8.5
Anaeromyxobacter_G	Anaeromyxobacter (G) NF=9.4
Archangiaceae_F	Archangiaceae (F) NF=1.4
