node,rank,expected_otu,sequences_found,sequences_extracted,output_file
Eriophyidae,family,6,9,6,138_Eriophyidae_family.fna
Blastocladiales,order,26,143,26,139_Blastocladiales_order.fna
Thalassiosiraceae,family,309,6048,309,140_Thalassiosiraceae_family.fna
Labyrinthulaceae,family,62,238,62,141_Labyrinthulaceae_family.fna
Vannellidae,family,56,94,56,142_Vannellidae_family.fna
Malasseziaceae,family,298,11722,298,143_Malasseziaceae_family.fna
Hartmannulidae,family,3,6,3,144_Hartmannulidae_family.fna
Ceratiaceae,family,3,65,3,145_Ceratiaceae_family.fna
Adeleidae,family,3,3,3,146_Adeleidae_family.fna
Allapsidae,family,3,4,3,147_Allapsidae_family.fna
Terebellidae,family,3,6,3,148_Terebellidae_family.fna
Dunaliellaceae,family,3,12,3,149_Dunaliellaceae_family.fna
Schistosomatidae,family,190,955,190,150_Schistosomatidae_family.fna
Pycnoraceae,family,46,237,46,151_Pycnoraceae_family.fna
Mycosphaerellales,order,45,84,45,152_Mycosphaerellales_order.fna
Murinae,subfamily,58,114,58,153_Murinae_subfamily.fna
Herpotrichiellaceae,family,63,125,63,154_Herpotrichiellaceae_family.fna
Chlorociboriaceae,family,56,565,56,155_Chlorociboriaceae_family.fna
Selenastraceae,family,3,4,3,156_Selenastraceae_family.fna
Corynesporascaceae,family,55,265,55,157_Corynesporascaceae_family.fna
Leishmaniinae,subfamily,53,327,53,158_Leishmaniinae_subfamily.fna
Spizellomycetaceae,family,52,167,52,159_Spizellomycetaceae_family.fna
Pelagomonadaceae,family,36,182,36,160_Pelagomonadaceae_family.fna
Limulidae,family,36,122,36,161_Limulidae_family.fna
Papilionoideae,subfamily,85,1830,85,162_Papilionoideae_subfamily.fna
Phryganellidae,family,2,2,2,163_Phryganellidae_family.fna
Peridiniaceae,family,2,7,2,164_Peridiniaceae_family.fna
Lipotrophidae,family,2,3,2,165_Lipotrophidae_family.fna
Sphaerozoidae,family,2,3,2,166_Sphaerozoidae_family.fna
Acrogenosporaceae,family,2,4,2,167_Acrogenosporaceae_family.fna
Alaimidae,family,2,2,2,168_Alaimidae_family.fna
Theileriidae,family,101,1221,101,169_Theileriidae_family.fna
Aphidinae,subfamily,49,436,49,170_Aphidinae_subfamily.fna
Pythiaceae,family,302,870,302,171_Pythiaceae_family.fna
Gregarinidae,family,27,218,27,172_Gregarinidae_family.fna
Ulvaceae,family,55,176,55,173_Ulvaceae_family.fna
Rhizopodaceae,family,67,969,67,174_Rhizopodaceae_family.fna
Ectocarpaceae,family,77,666,77,175_Ectocarpaceae_family.fna
Legeriomycetaceae,family,60,247,60,176_Legeriomycetaceae_family.fna
Neodiplogasteridae,family,70,366,70,177_Neodiplogasteridae_family.fna
Danioninae,subfamily,65,111,65,178_Danioninae_subfamily.fna
Ophryoglenina,suborder,19,444,19,179_Ophryoglenina_suborder.fna
Parameciidae,family,65,547,65,180_Parameciidae_family.fna
Chaetomiaceae,family,25,579,25,181_Chaetomiaceae_family.fna
Echinamoebidae,family,1,2,1,182_Echinamoebidae_family.fna
Epistylidae,family,1,3,1,183_Epistylidae_family.fna
Massisteriidae,family,1,2,1,184_Massisteriidae_family.fna
Haliphthoraceae,family,1,2,1,185_Haliphthoraceae_family.fna
Massariaceae,family,1,4,1,186_Massariaceae_family.fna
Leptodoridae,family,1,7,1,187_Leptodoridae_family.fna
Nothopodinae,subfamily,1,2,1,188_Nothopodinae_subfamily.fna
Nebulidae,family,1,3,1,189_Nebulidae_family.fna
Paulinellidae,family,17,24,17,190_Paulinellidae_family.fna
Conidae,family,45,225,45,191_Conidae_family.fna
Hyaloscyphaceae,family,40,131,40,192_Hyaloscyphaceae_family.fna
Comesomatidae,family,16,95,16,193_Comesomatidae_family.fna
Blastocystidae,family,72,618,72,194_Blastocystidae_family.fna
Phaeodactylaceae,family,15,37,15,195_Phaeodactylaceae_family.fna
Monodopsidaceae,family,39,315,39,196_Monodopsidaceae_family.fna
Edwardsiidae,family,14,36,14,197_Edwardsiidae_family.fna
Eimeriidae,family,68,535,68,198_Eimeriidae_family.fna
Nectriaceae,family,466,4262,466,199_Nectriaceae_family.fna
Cafeteriaceae,family,18,75,18,200_Cafeteriaceae_family.fna
Plasmodiidae,family,44,404,44,201_Plasmodiidae_family.fna
Chydoridae,family,12,27,12,202_Chydoridae_family.fna
Aphelidiaceae,family,12,17,12,203_Aphelidiaceae_family.fna
Temoridae,family,21,89,21,204_Temoridae_family.fna
Russulaceae,family,71,776,71,205_Russulaceae_family.fna
Brassicaceae,family,30,32,30,206_Brassicaceae_family.fna
Coelomomycetaceae,family,10,29,10,207_Coelomomycetaceae_family.fna
Trichosporonaceae,family,42,252,42,208_Trichosporonaceae_family.fna
Teratosphaeriaceae,family,29,32,29,209_Teratosphaeriaceae_family.fna
Ricinidae,family,13,15,13,210_Ricinidae_family.fna
Blastocladiaceae,family,16,114,16,211_Blastocladiaceae_family.fna
Cryptosporidiidae,family,50,922,50,212_Cryptosporidiidae_family.fna
Chromulinaceae,family,12,14,12,213_Chromulinaceae_family.fna
Balamuthiidae,family,8,12,8,214_Balamuthiidae_family.fna
Entylomatales,order,8,53,8,215_Entylomatales_order.fna
Onygenaceae,family,11,17,11,216_Onygenaceae_family.fna
Chloropicaceae,family,15,50,15,217_Chloropicaceae_family.fna
Psoraceae,family,10,24,10,218_Psoraceae_family.fna
Chytriomycetaceae,family,12,82,12,219_Chytriomycetaceae_family.fna
Ostreidae,family,13,29,13,220_Ostreidae_family.fna
Mycosphaerellaceae,family,16,52,16,221_Mycosphaerellaceae_family.fna
Pelagiidae,family,13,32,13,222_Pelagiidae_family.fna
Peloderinae,subfamily,57,495,57,223_Peloderinae_subfamily.fna
Polychytriales,order,5,6,5,224_Polychytriales_order.fna
Aphrophoridae,family,5,7,5,225_Aphrophoridae_family.fna
Phyllocoptinae,subfamily,5,7,5,226_Phyllocoptinae_subfamily.fna
Homininae,subfamily,5,15,5,227_Homininae_subfamily.fna
Taphrinaceae,family,17,80,17,228_Taphrinaceae_family.fna
Chlamydomonadaceae,family,23,107,23,229_Chlamydomonadaceae_family.fna
Campopleginae,subfamily,4,4,4,230_Campopleginae_subfamily.fna
Acartiidae,family,4,7,4,231_Acartiidae_family.fna
Saprolegniaceae,family,5,126,5,232_Saprolegniaceae_family.fna
Mrakiaceae,family,11,95,11,233_Mrakiaceae_family.fna
Strigomonadinae,subfamily,6,30,6,234_Strigomonadinae_subfamily.fna
Pooideae,subfamily,7,18,7,235_Pooideae_subfamily.fna
Barbatosphaeriaceae,family,3,5,3,236_Barbatosphaeriaceae_family.fna
Dermateaceae,family,3,6,3,237_Dermateaceae_family.fna
Sigmoideomycetaceae,family,3,4,3,238_Sigmoideomycetaceae_family.fna
Xenopodinae,subfamily,5,9,5,239_Xenopodinae_subfamily.fna
Anguininae,subfamily,4,4,4,240_Anguininae_subfamily.fna
Rhizophydiales,order,3,45,3,241_Rhizophydiales_order.fna
Coniophoraceae,family,2,3,2,242_Coniophoraceae_family.fna
Cecidomyiinae,subfamily,2,11,2,243_Cecidomyiinae_subfamily.fna
Cyanidiaceae,family,2,21,2,244_Cyanidiaceae_family.fna
