node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Blastocladiales,order,2,7.81,3.9,26,Fungi incertae sedis > Blastocladiomycota > Blastocladiomycetes,"Coelomomyces(4.0), Allomyces(3.8)",Coelomomyces;Allomyces
Thalassiosiraceae,family,1,7.8,7.8,309,Coscinodiscophyceae > Thalassiosirophycidae > Thalassiosirales,Thalassiosira(7.8),Thalassiosira
Labyrinthulaceae,family,1,7.8,7.8,62,Bigyra > Labyrinthulomycetes > Labyrinthulida,Labyrinthula(7.8),Labyrinthula
Plasmodiidae,family,2,7.63,3.81,89,Apicomplexa > Aconoidasida > Haemosporida,"Plasmodium1(4.3), Plasmodiidae.U.genus(3.3)",Plasmodium1;Plasmodiidae.U.genus
Vannellidae,family,1,7.55,7.55,56,Amoebozoa > Discosea > Flabellinia,Vannella(7.6),Vannella
Malasseziaceae,family,1,7.48,7.48,298,Ustilaginomycotina > Malasseziomycetes > Malasseziales,Malassezia(7.5),Malassezia
Terebellidae,family,1,7.39,7.39,3,Canalipalpata > Terebellida > Terebelliformia,Loimia(7.4),Loimia
Allapsidae,family,1,7.39,7.39,3,Rhizaria > Cercozoa > Glissomonadida,Allantion(7.4),Allantion
Ceratiaceae,family,1,7.39,7.39,3,Alveolata > Dinophyceae > Gonyaulacales,Ceratium(7.4),Ceratium
Hartmannulidae,family,1,7.39,7.39,3,Phyllopharyngea > Phyllopharyngia > Dysteriida,Hartmannulidae_X(7.4),Hartmannulidae_X
Adeleidae,family,1,7.39,7.39,3,Alveolata > Apicomplexa > Adeleorina,Adelina(7.4),Adelina
Dunaliellaceae,family,1,7.39,7.39,3,Chlorophyceae > CS clade > Chlamydomonadales,Spermatozopsis(7.4),Spermatozopsis
Schistosomatidae,family,1,7.1,7.1,190,Digenea > Strigeidida > Schistosomatoidea,Schistosoma(7.1),Schistosoma
Pycnoraceae,family,1,7.09,7.09,46,leotiomyceta > Candelariomycetes > Candelariales,Pycnora(7.1),Pycnora
