node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Bodonidae,family,2,14.73,7.37,24,Kinetoplastea > Metakinetoplastina > Eubodonida,"Allobodo(10.7), Bodo(4.0)",Allobodo;Bodo
Protaspidae,family,2,14.52,7.26,6,Cercozoa > Thecofilosea > Cryomonadida,"Protaspa(8.0), Cryothecomonas(6.5)",Protaspa;Cryothecomonas
Nepetoideae,subfamily,1,14.49,14.49,79,lamiids > Lamiales > Lamiaceae,Cyclotrichium(14.5),Cyclotrichium
Pelobiontida,order,2,14.35,7.18,36,Amoebozoa > Evosea > Archamoebae,"Mastigella(12.7), Pelobiontida.U.genus(1.7)",Mastigella;Pelobiontida.U.genus
Chlorellaceae,family,2,14.16,7.08,33,core chlorophytes > Trebouxiophyceae > Chlorellales,"Chloroparva(10.0), Auxenochlorella(4.2)",Chloroparva;Auxenochlorella
Poaceae,family,2,13.97,6.98,379,Petrosaviidae > commelinids > Poales,"Zea(11.7), Brachypodium(2.3)",Zea;Brachypodium
Bicosoecidae,family,1,13.78,13.78,57,Bigyra > Opalozoa > Bicosoecida,Bicoecaceae_X(13.8),Bicoecaceae_X
Picomonadidae,family,1,13.54,13.54,51,Picozoa > Picomonadea > Picomonadida,Picomonas(13.5),Picomonas
Trypanosomatidae,family,3,13.51,4.5,144,Kinetoplastea > Metakinetoplastina > Trypanosomatida,"Leptomonas(6.6), Trypanosoma(4.6), Strigomonas(2.3)",Leptomonas;Trypanosoma;Strigomonas
Collophidiidae,family,1,13.12,13.12,42,Retaria > Polycystinea > Collodaria,Collophidium(13.1),Collophidium
Pseudocolliniidae,family,1,13.01,13.01,40,Oligohymenophorea > Apostomatia > Apostomatida,Fusiforma(13.0),Fusiforma
Urotrichidae,family,1,12.9,12.9,38,Intramacronucleata > Prostomatea > Prorodontida,Urotricha(12.9),Urotricha
Acinetidae,family,1,12.84,12.84,37,Phyllopharyngea > Suctoria > Endogenida,Acineta_1(12.8),Acineta_1
Amoebidae,family,1,12.72,12.72,35,Tubulinea > Elardia > Euamoebida,Chaos(12.7),Chaos
Anthoptilidae,family,1,12.72,12.72,35,Octocorallia > Scleralcyonacea > Pennatuloidea,Anthoptilum(12.7),Anthoptilum
Actinocephalidae,family,1,12.66,12.66,34,Conoidasida > Gregarinasina > Eugregarinorida,Actinocephalidae.U.genus(12.7),Actinocephalidae.U.genus
Gromiidae,family,1,12.59,12.59,33,Rhizaria > Endomyxa > Gromiida,Gromia(12.6),Gromia
Tokophryidae,family,1,12.59,12.59,33,Phyllopharyngea > Suctoria > Endogenida,Tokophrya(12.6),Tokophrya
Acanthamoebidae,family,2,12.5,6.25,107,Discosea > Longamoebia > Centramoebida,"Protacanthamoeba(7.4), Acanthamoeba(5.1)",Protacanthamoeba;Acanthamoeba
Bdellidae,family,1,12.46,12.46,31,Prostigmata > Eupodina > Bdelloidea,Spinibdella(12.5),Spinibdella
Hyalospheniidae,family,1,12.39,12.39,30,Elardia > Arcellinida > Glutinoconcha,Physochila(12.4),Physochila
Anomopoda,infraorder,2,12.33,6.17,16,Phyllopoda > Diplostraca > Cladocera,"Bosmina(8.0), Chydorus(4.3)",Bosmina;Chydorus
Funariaceae,family,1,12.24,12.24,28,Bryopsida > Funariidae > Funariales,Physcomitrella(12.2),Physcomitrella
Paradiniida,order,1,12.16,12.16,27,Rhizaria > Endomyxa > Ascetosporea,Paradinium(12.2),Paradinium
Astasiidae,family,1,12.07,12.07,26,Spirocuta > Aphagea > Rhabdomonadales,Gyropaigne(12.1),Gyropaigne
Pyloniidae,family,1,12.07,12.07,26,Retaria > Polycystinea > Spumellaria,Tholomura(12.1),Tholomura
Dysteriidae,family,1,11.99,11.99,25,Phyllopharyngea > Phyllopharyngia > Dysteriida,Trochilia(12.0),Trochilia
Distigmidae,family,1,11.9,11.9,24,Spirocuta > Aphagea > Rhabdomonadales,Distigma(11.9),Distigma
Xenospadicoidaceae,family,1,11.9,11.9,24,Sordariomycetes > Sordariomycetidae > Xenospadicoidales,Spadicoides(11.9),Spadicoides
Gregarinidae,family,2,11.82,5.91,54,Conoidasida > Gregarinasina > Eugregarinorida,"Gregarinidae.U.genus(5.9), Gregarina3(5.9)",Gregarinidae.U.genus;Gregarina3
Panicoideae,subfamily,1,11.67,11.67,372,Poales > Poaceae > PACMAD clade,Zea(11.7),Zea
