taxon_name,level,novelty_factor,taxid,lineage,lineage_taxids
Actinoplanes,genus,0.656,1865,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes,131567;2;1783272;201174;1760;85008;28056;1865
Spiroplasma,genus,0.41,2132,cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma,131567;2;1783272;544448;31969;186328;2131;2132
Proteiniphilum,genus,2.531,294702,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum,131567;2;3379134;1783270;68336;976;200643;171549;2005520;294702
Bdellovibrio,genus,14.281,958,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio,131567;2;3379134;3018035;3031418;213481;213483;958
Alcaligenes,genus,3.667,507,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes,131567;2;3379134;1224;28216;80840;506;507
Gallionella,genus,10.556,96,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Gallionella,131567;2;3379134;1224;28216;32003;90627;96
Planococcus,genus,0.983,40929,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Coccoidea;Pseudococcidae;Planococcus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33342;7524;33373;33381;30190;40929
Sphaerochaeta,genus,9.667,399320,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Sphaerochaetaceae;Sphaerochaeta,131567;2;3379134;203691;203692;136;2791015;399320
Luteimonas,genus,1.241,83614,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Luteimonas,131567;2;3379134;1224;1236;135614;32033;83614
Liquorilactobacillus,genus,0.5,2767888,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Liquorilactobacillus,131567;2;1783272;1239;91061;186826;33958;2767888
Brachybacterium,genus,0.852,43668,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Brachybacterium,131567;2;1783272;201174;1760;85006;85020;43668
Rhodoluna,genus,1.5,529883,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Luna cluster;Luna-1 subcluster;Rhodoluna,131567;2;1783272;201174;1760;85006;85023;1655488;1655489;529883
Microvirga,genus,1.345,186650,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga,131567;2;3379134;1224;28211;356;119045;186650
Thiomonas,genus,0.792,32012,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales genera incertae sedis;Thiomonas,131567;2;3379134;1224;28216;80840;224471;32012
Atlantibacter,genus,1.0,1903434,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Atlantibacter,131567;2;3379134;1224;1236;91347;543;1903434
Acidimicrobium,genus,0.385,53634,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium,131567;2;1783272;201174;84992;84993;84994;53634
Agromyces,genus,0.844,33877,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces,131567;2;1783272;201174;1760;85006;85023;33877
Bosea,genus,0.726,169215,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Caryophyllales;Amaranthaceae;Bosea,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;3524;3563;169215
Finegoldia,genus,5.556,150022,cellular organisms;Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia,131567;2;1783272;1239;1737404;1737405;1570339;150022
Thalassolituus,genus,0.184,187492,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Thalassolituus,131567;2;3379134;1224;1236;135619;135620;187492
Oleibacter,genus,0.658,187492,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Thalassolituus,131567;2;3379134;1224;1236;135619;135620;187492
Pirellula,genus,104.5,123,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Pirellula,131567;2;3379134;1783257;203682;203683;2691354;2691357;123
Opitutus,genus,27.4,178440,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Opitutia;Opitutales;Opitutaceae;Opitutus,131567;2;3379134;1783257;74201;414999;415000;134623;178440
Paenarthrobacter,genus,0.221,1742992,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Paenarthrobacter,131567;2;1783272;201174;1760;85006;1268;1742992
