taxon_name,level,novelty_factor,source_domain,census_taxid,census_otu_count,census_size_count,ncbi_genome_count,ncbi_species_count,domain,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,strain,clade,no rank,cohort,section,species group,subcohort,subsection,varietas
seawater_metagenome.Chloroplast,genus,9999.0,Unknown,1561972.0,4,18,0,0,,,,,,,,,,,,,,,,,,,,,,seawater metagenome,,,,ecological metagenomes,,,,,,
museum_specimen_metagenome.Mitochondria,genus,9999.0,Unknown,1661029.0,9,10,0,0,,,,,,,,,,,,,,,,,,,,,,museum specimen metagenome,,,,ecological metagenomes,,,,,,
metagenome.Mitochondria,genus,9999.0,Unknown,256318.0,333,1693,0,0,,,,,,,,,,,,,,,,,,,,,,metagenome,,,,metagenomes,,,,,,
metagenome.Mitochondria,family,9999.0,Unknown,256318.0,333,1693,0,0,,,,,,,,,,,,,,,,,,,,,,metagenome,,,,metagenomes,,,,,,
metagenome.Chloroplast,genus,9999.0,Unknown,256318.0,51,229,0,0,,,,,,,,,,,,,,,,,,,,,,metagenome,,,,metagenomes,,,,,,
metagenome.Chloroplast,family,9999.0,Unknown,256318.0,51,229,0,0,,,,,,,,,,,,,,,,,,,,,,metagenome,,,,metagenomes,,,,,,
marine_metagenome.Mitochondria,genus,9999.0,Unknown,408172.0,224,750,0,0,,,,,,,,,,,,,,,,,,,,,,marine metagenome,,,,ecological metagenomes,,,,,,
marine_metagenome.Chloroplast,genus,9999.0,Unknown,408172.0,20,145,0,0,,,,,,,,,,,,,,,,,,,,,,marine metagenome,,,,ecological metagenomes,,,,,,
groundwater_metagenome.Chloroplast,genus,9999.0,Unknown,717931.0,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,groundwater metagenome,,,,ecological metagenomes,,,,,,
freshwater_sediment_metagenome.Chloroplast,genus,9999.0,Unknown,556182.0,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,freshwater sediment metagenome,,,,ecological metagenomes,,,,,,
Zygnemophyceae_XXX_sp.:plas.Chloroplast,genus,9999.0,Unknown,,2,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygnema_circumcarinatum:plas.Chloroplast,genus,9999.0,Unknown,35869.0,2,4,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Zygnematophyceae,Zygnematophycidae,,,Zygnematales,,,,,Zygnemataceae,,,,Zygnema,,Zygnema circumcarinatum,,,,,,,,,,
Ziziphus_jujuba.Chloroplast,genus,9999.0,Unknown,326968.0,2,27,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,,,,Rosales,,,,,Rhamnaceae,,Paliureae,,Ziziphus,,Ziziphus jujuba,,,fabids,,,,,,,
Zea_mays:plas.Chloroplast,genus,9999.0,Unknown,4577.0,3,96,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,Petrosaviidae,,,Poales,,,,,Poaceae,Panicoideae,Andropogoneae,Tripsacinae,Zea,,Zea mays,,,PACMAD clade,Andropogonodae,,,,,,
Zasmidium_cellare.Mitochondria,genus,9999.0,Unknown,395010.0,168,950,0,0,Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,,Dothideomycetes,Dothideomycetidae,,,Mycosphaerellales,,,,,Mycosphaerellaceae,,,,Zasmidium,,Zasmidium cellare,,,dothideomyceta,,,,,,,
Yucca_schidigera:plas.Chloroplast,genus,9999.0,Unknown,334597.0,2,4,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,Petrosaviidae,,,Asparagales,,,,,Asparagaceae,Agavoideae,,,Yucca,,Yucca schidigera,,,Liliopsida,,,,,,,
Yersinia,genus,9999.0,Unknown,444888.0,31,906,0,0,Eukaryota,Metazoa,,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,Dictyoptera,Mantodea,Eumantodea,,,Eremiaphiloidea,Amelidae,,,,Yersinia,,,,,Dicondylia,,Polyneoptera,,,,,
Xylophilus,genus,9999.0,Unknown,3109381.0,3,120,0,0,Eukaryota,Metazoa,,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,,Elateroidea,Eucnemidae,,,,Xylophilus,,,,,Dicondylia,,Endopterygota,,,,,
Xerophyta_viscosa.Mitochondria,genus,9999.0,Unknown,90708.0,2,11,0,0,Eukaryota,Viridiplantae,,Streptophyta,Streptophytina,,Magnoliopsida,Petrosaviidae,,,Pandanales,,,,,Velloziaceae,,,,Xerophyta,,Xerophyta viscosa,,,Liliopsida,,,,,,,
Xenococcus,genus,9999.0,Unknown,2774086.0,9,37,0,0,Eukaryota,Metazoa,,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Hemiptera,Sternorrhyncha,,,Coccoidea,Xenococcidae,,,,Xenococcus,,,,,Dicondylia,,Paraneoptera,,,,,
Xanthobacillum,genus,9999.0,Unknown,475599.0,1,2,0,0,Bacteria,Pseudomonadati,,Bacteroidota,,,Flavobacteriia,,,,Flavobacteriales,,,,,Flavobacteriaceae,,,,Xanthobacillum,,,,,Bacteroidota/Chlorobiota group,,,,,,,
Wollea,genus,9999.0,Unknown,732147.0,1,1,0,0,Bacteria,Bacillati,,Cyanobacteriota,,,Cyanophyceae,,,,Nostocales,,,,,Nostocaceae,,,,Wollea,,,,,Cyanobacteriota/Melainabacteria group,,,,,,,
Wilmottia,genus,9999.0,Unknown,1048851.0,13,49,0,0,Bacteria,Bacillati,,Cyanobacteriota,,,Cyanophyceae,,,,Coleofasciculales,,,,,Wilmottiaceae,,,,Wilmottia,,,,,Cyanobacteriota/Melainabacteria group,,,,,,,
Wildemania_schizophylla.Mitochondria,genus,9999.0,Unknown,1134705.0,1,2,0,0,Eukaryota,,,Rhodophyta,,,Bangiophyceae,,,,Bangiales,,,,,Bangiaceae,,,,Wildemania,,Wildemania schizophylla,,,,,,,,,,
Wautersiella,genus,9999.0,Unknown,343873.0,2,7,0,0,Bacteria,Pseudomonadati,,Bacteroidota,,,Flavobacteriia,,,,Flavobacteriales,,,,,Weeksellaceae,,,,Wautersiella,,,,,Bacteroidota/Chlorobiota group,,,,,,,
Vulcanithermus,genus,9999.0,Unknown,206044.0,4,11,0,0,Bacteria,Thermotogati,,Deinococcota,,,Deinococci,,,,Thermales,,,,,Thermaceae,,,,Vulcanithermus,,,,,,,,,,,,
