genus,nf,otu_count,priority_score
Enhygromyxa,6.5,13,3.83
Lutibacter,2.524,53,3.82
Anaerocolumna,3.083,37,3.82
Granulibacter,9.0,9,3.82
Venenivibrio,9.0,9,3.82
Aciditerrimonas,9.0,9,3.82
Hugenholtzia,9.0,9,3.82
Longivirga,9.0,9,3.82
Methyloferula,9.0,9,3.82
Thermosinus,9.0,9,3.82
Rapidithrix,9.0,9,3.82
Sediminibacter,9.0,9,3.82
Tuwongella,9.0,9,3.82
Halodurantibacterium,9.0,9,3.82
Coleofasciculus,2.233,67,3.81
Fimbriimonas,5.333,16,3.81
Minicystis,5.333,16,3.81
Desmonostoc,5.333,16,3.81
Verrucomicrobium,3.714,26,3.79
Fibrobacter,1.846,96,3.78
Enhydrobacter,2.647,45,3.77
Ezakiella,4.2,21,3.77
Syntrophotalea,4.2,21,3.77
Methylobacter,2.348,54,3.75
Mucilaginibacter,1.373,195,3.74
Thermus,1.974,77,3.74
Desulfatitalea,3.833,23,3.74
Alcanivorax,1.552,135,3.73
Spirosoma,1.754,100,3.73
Lentibacter,4.5,18,3.73
Silicimonas,4.5,18,3.73
Tropicimonas,2.917,35,3.73
Geoalkalibacter,4.5,18,3.73
Limnohabitans,1.927,79,3.72
Devosia,1.505,143,3.72
Thiomicrorhabdus,2.474,47,3.72
Coraliomargarita,3.1,31,3.72
Caloramator,3.0,33,3.72
Tychonema,3.571,25,3.72
Aestuariimicrobium,3.571,25,3.72
Tabrizicola,2.667,40,3.71
Quadrisphaera,3.222,29,3.71
Ascidiaceihabitans,5.0,15,3.7
Johnsonella,5.0,15,3.7
Orientia,6.0,12,3.7
Defluviitoga,6.0,12,3.7
Thermopetrobacter,6.0,12,3.7
Lapillicoccus,6.0,12,3.7
Aquimonas,5.0,15,3.7
Sulfurirhabdus,6.0,12,3.7
Calditerrivibrio,6.0,12,3.7
Aliidongia,6.0,12,3.7
Sphaerobacter,6.0,12,3.7
Thermanaeromonas,5.0,15,3.7
Gottschalkia,6.0,12,3.7
Anoxynatronum,6.0,12,3.7
Halarcobacter,4.0,20,3.69
Motiliproteus,4.0,20,3.69
Neisseria,1.188,265,3.68
Rheinheimera,1.878,77,3.68
Cohnella,1.75,91,3.68
Calothrix,1.971,69,3.68
Ramlibacter,2.0,66,3.67
Alicyclobacillus,2.032,63,3.66
Marinicella,3.0,30,3.66
Nitratiruptor,3.111,28,3.65
Azospira,3.111,28,3.65
Phormidium,2.286,48,3.64
Thermoanaerobacter,2.389,43,3.63
Soehngenia,4.25,17,3.63
Achromatium,4.25,17,3.63
Sneathiella,2.75,33,3.62
Endobacter,8.0,8,3.62
Paramaledivibacter,8.0,8,3.62
Parvibium,8.0,8,3.62
Halarsenatibacter,8.0,8,3.62
Subsaxibacter,8.0,8,3.62
Longimycelium,8.0,8,3.62
Lysinibacillus,1.203,213,3.6
Moorella,2.571,36,3.6
Sporomusa,2.571,36,3.6
Sulfurihydrogenibium,3.8,19,3.6
Alkalispirochaeta,3.8,19,3.6
Pseudaminobacter,3.8,19,3.6
Deinococcus,1.286,171,3.59
Persephonella,3.5,21,3.59
Azotobacter,3.0,27,3.59
Arcticibacter,3.5,21,3.59
Roseivivax,2.467,37,3.58
Flavicella,4.667,14,3.58
Friedmanniella,4.667,14,3.58
Gallicola,4.667,14,3.58
Parasegetibacter,4.667,14,3.58
Stanieria,4.667,14,3.58
Sutterella,2.19,46,3.57
Sphingobacterium,1.183,213,3.57
Cetobacterium,2.5,35,3.56
Ornithobacterium,5.5,11,3.55
Intestinimonas,2.278,41,3.55
Immundisolibacter,5.5,11,3.55
Pseudobacteriovorax,5.5,11,3.55
Mobilitalea,5.5,11,3.55
Natranaerobius,5.5,11,3.55
Agaribacter,5.5,11,3.55
Thermicanus,5.5,11,3.55
Labilibacter,5.5,11,3.55
Propionicicella,5.5,11,3.55
Virgibacillus,1.559,92,3.54
Actinophytocola,2.8,28,3.54
Thermoclostridium,4.0,16,3.53
Rhodovibrio,4.0,16,3.53
Caedibacter,4.0,16,3.53
Moraxella,1.508,98,3.52
Oceanospirillum,3.0,24,3.52
Marinococcus,3.143,22,3.51
Geobacillus,1.478,99,3.5
Rubinisphaera,3.333,20,3.5
Anaerotruncus,2.158,41,3.49
Marinobacterium,1.644,74,3.49
Sphaerotilus,2.7,27,3.48
Hydrogenophaga,1.569,80,3.47
Nitratireductor,1.862,54,3.47
Sphingorhabdus,2.167,39,3.46
Acetobacterium,2.25,36,3.46
Pricia,4.333,13,3.46
Desulfoplanes,4.333,13,3.46
Ligilactobacillus,1.703,63,3.45
Dickeya,2.048,43,3.45
Pseudorhodobacter,2.545,28,3.44
Oceanicaulis,2.385,31,3.43
Rickettsiella,2.385,31,3.43
Polymorphobacter,3.75,15,3.43
Planifilum,3.75,15,3.43
Tepidamorphus,3.75,15,3.43
Planctomyces,3.167,19,3.42
Coprobacter,3.4,17,3.42
Robinsoniella,3.4,17,3.42
Glaciecola,2.0,42,3.41
Ktedonobacter,2.417,29,3.41
Aminivibrio,5.0,10,3.4
Flavimaricola,5.0,10,3.4
Brockia,7.0,7,3.4
Rehaibacterium,5.0,10,3.4
Acetobacteroides,5.0,10,3.4
Haloactinopolyspora,5.0,10,3.4
Thermodesulfitimonas,5.0,10,3.4
Xylanibacillus,7.0,7,3.4
Arsenicitalea,5.0,10,3.4
Desulfuribacillus,5.0,10,3.4
Thioalbus,5.0,10,3.4
Methylomarinovum,5.0,10,3.4
Wandonia,7.0,7,3.4
Thermostaphylospora,7.0,7,3.4
Endothiovibrio,7.0,7,3.4
Gangjinia,7.0,7,3.4
Brevibacillus,1.255,123,3.39
Acetivibrio,2.455,27,3.38
Chloroflexus,2.75,22,3.37
Synechocystis,2.056,37,3.37
Muricauda,1.575,63,3.35
Ehrlichia,2.5,25,3.35
Reichenbachiella,2.5,25,3.35
Herpetosiphon,2.857,20,3.35
Roseovarius,1.244,112,3.34
Acetatifactor,3.0,18,3.33
Anderseniella,4.0,12,3.33
Hippea,3.0,18,3.33
Mesoaciditoga,4.0,12,3.33
Thermacetogenium,3.0,18,3.33
Verticiella,4.0,12,3.33
Salinimonas,3.0,18,3.33
Planktosalinus,4.0,12,3.33
Microscilla,4.0,12,3.33
Slackia,2.364,26,3.32
Arenicella,3.2,16,3.32
Leadbetterella,3.2,16,3.32
Planktotalea,3.5,14,3.31
Rhodovarius,3.5,14,3.31
Krasilnikovia,3.5,14,3.31
Ralstonia,1.233,106,3.3
Trichococcus,2.143,30,3.3
Fulvivirga,2.143,30,3.3
Lyngbya,2.625,21,3.3
Sodalis,1.588,54,3.28
Rhodanobacter,1.205,106,3.27
Pontibacter,1.317,83,3.27
Pyramidobacter,2.714,19,3.27
Pelobacter,2.714,19,3.27
Caenimonas,2.714,19,3.27
Kocuria,1.198,103,3.25
Lachnoanaerobaculum,2.273,25,3.25
Salinispora,2.444,22,3.25
Imperialibacter,2.833,17,3.24
Desulfosarcina,2.167,26,3.23
Rubrimonas,4.5,9,3.23
Shimwellia,4.5,9,3.23
Oceanicella,4.5,9,3.23
Egibacter,4.5,9,3.23
Tenacibaculum,1.181,98,3.21
Ochrobactrum,1.179,99,3.21
Gemmobacter,1.938,31,3.21
Albidovulum,1.938,31,3.21
Halovulum,3.0,15,3.21
Cronobacter,2.077,27,3.2
Senegalimassilia,3.25,13,3.2
Robiginitalea,2.077,27,3.2
Psychrilyobacter,3.25,13,3.2
Effusibacillus,3.25,13,3.2
Leeia,3.25,13,3.2
Idiomarina,1.309,72,3.19
Pseudobutyrivibrio,1.727,38,3.19
Propionicimonas,3.667,11,3.19
Runella,2.182,24,3.19
Methylovulum,3.667,11,3.19
Snowella,3.667,11,3.19
Zeaxanthinibacter,3.667,11,3.19
Bryocella,3.667,11,3.19
Conchiformibius,3.667,11,3.19
Limibacillus,3.667,11,3.19
Geopsychrobacter,3.667,11,3.19
Pseudopedobacter,3.667,11,3.19
Lactovum,3.667,11,3.19
Thermopolyspora,3.667,11,3.19
Oceanivirga,3.667,11,3.19
Desulforhabdus,3.667,11,3.19
Acetanaerobacterium,3.667,11,3.19
Desulfallas,3.667,11,3.19
Porphyrobacter,1.833,33,3.18
Hydrogenobaculum,2.571,18,3.18
Methylomicrobium,2.571,18,3.18
Photobacterium,1.141,97,3.16
uncultured_Rickettsiales_bacterium.Mitochondria,6.0,6,3.16
Luteimonas,1.12,103,3.16
Inquilinus,2.083,25,3.16
Pelagibaca,6.0,6,3.16
Keratinibaculum,6.0,6,3.16
Methylonatrum,6.0,6,3.16
Salinisphaera,1.682,37,3.15
Pleurocapsa,2.0,26,3.14
Thermobifida,2.667,16,3.14
Geitlerinema,2.2,22,3.14
Lacihabitans,2.667,16,3.14
Methyloceanibacter,2.375,19,3.13
Reinekea,2.375,19,3.13
Sunxiuqinia,2.375,19,3.13
Microvirga,1.2,78,3.12
Solibacillus,1.484,46,3.12
Microlunatus,1.737,33,3.12
Anaerobacillus,2.091,23,3.12
Undibacterium,1.275,65,3.11
Lutimonas,2.8,14,3.11
Tistrella,2.8,14,3.11
Desulfofustis,2.8,14,3.11
Flaviaesturariibacter,2.8,14,3.11
Alkalibacter,2.8,14,3.11
Defluviimonas,1.812,29,3.1
Terrisporobacter,2.222,20,3.1
Mesoflavibacter,2.222,20,3.1
Chitinimonas,2.0,24,3.1
Dinoroseobacter,2.429,17,3.09
Brumimicrobium,2.429,17,3.09
Paludibacterium,2.429,17,3.09
Latilactobacillus,2.1,21,3.07
Acetomicrobium,2.1,21,3.07
Limisphaera,3.0,12,3.07
Filimonas,3.0,12,3.07
Ornithinicoccus,3.0,12,3.07
Sporanaerobacter,3.0,12,3.07
Hungatella,1.591,35,3.06
Aneurinibacillus,1.857,26,3.06
Chromohalobacter,1.857,26,3.06
Megasphaera,1.24,62,3.05
Niabella,1.565,36,3.05
Methyloversatilis,2.0,22,3.05
Pseudorhodoplanes,3.333,10,3.05
Halorhodospira,2.0,22,3.05
Rubritepida,3.333,10,3.05
Ethanoligenens,3.333,10,3.05
Timonella,3.333,10,3.05
Malonomonas,4.0,8,3.05
Parapusillimonas,3.333,10,3.05
Alkaliflexus,3.333,10,3.05
Limimonas,4.0,8,3.05
Serpentinicella,4.0,8,3.05
Denitrovibrio,4.0,8,3.05
Dendrosporobacter,4.0,8,3.05
Telmatocola,4.0,8,3.05
Chroococcus,4.0,8,3.05
Fervidobacterium,1.75,28,3.04
Syntrophothermus,2.5,15,3.04
Butyricimonas,1.667,30,3.03
Polaromonas,1.229,59,3.02
Thermomonospora,2.111,19,3.02
Algibacter,1.571,33,3.01
Salegentibacter,1.5,36,3.01
Thalassotalea,1.275,51,2.99
Neptunomonas,2.0,20,2.99
Tolumonas,2.6,13,2.99
Rhodothermus,2.6,13,2.99
Aquaspirillum,2.6,13,2.99
Albimonas,2.6,13,2.99
Oscillatoria,1.688,27,2.98
Atopobium,1.344,43,2.97
Malaciobacter,2.125,17,2.96
Uliginosibacterium,1.769,23,2.95
Marinicaulis,2.333,14,2.94
Thalassobius,1.714,24,2.94
Hydrogenobacter,2.333,14,2.94
Pygmaiobacter,2.75,11,2.94
Ponticoccus,2.75,11,2.94
Anaerosalibacter,2.75,11,2.94
Antarcticibacterium,2.333,14,2.94
Psychrobium,2.75,11,2.94
Cyanothece,2.75,11,2.94
Aliterella,2.75,11,2.94
Anaerosinus,2.75,11,2.94
Anaerobranca,2.75,11,2.94
Desulfobacula,2.0,18,2.93
Hahella,2.0,18,2.93
Parapedobacter,1.556,28,2.92
Olsenella,1.143,56,2.91
Salinimicrobium,1.435,33,2.91
Parageobacillus,1.9,19,2.91
Arcicella,1.818,20,2.9
Marivirga,1.818,20,2.9
Aquamicrobium,1.818,20,2.9
Simplicispira,1.818,20,2.9
Pseudoruegeria,2.143,15,2.9
Paraclostridium,1.75,21,2.89
Dehalococcoides,1.75,21,2.89
Fischerella,1.75,21,2.89
Kerstersia,3.0,9,2.89
Yokenella,5.0,5,2.89
Methylomagnum,3.0,9,2.89
Thermovibrio,3.0,9,2.89
Galbitalea,3.0,9,2.89
Proteocatella,3.0,9,2.89
Alloiococcus,3.0,9,2.89
Chromatium,3.0,9,2.89
Alysiella,3.0,9,2.89
Fontimonas,3.0,9,2.89
Euryhalocaulis,3.0,9,2.89
Thermosulfidibacter,3.0,9,2.89
Natronincola,3.0,9,2.89
Thaumasiovibrio,3.0,9,2.89
Luteibaculum,3.0,9,2.89
Shimazuella,3.0,9,2.89
Catellicoccus,5.0,5,2.89
Garicola,5.0,5,2.89
Desulfitispora,5.0,5,2.89
Mastigocladopsis,5.0,5,2.89
Pilibacter,5.0,5,2.89
Albirhodobacter,5.0,5,2.89
Nafulsella,5.0,5,2.89
Negadavirga,5.0,5,2.89
Methylohalomonas,5.0,5,2.89
Lysinimonas,5.0,5,2.89
Vitiosangium,5.0,5,2.89
Thiobacter,5.0,5,2.89
Ureaplasma,1.692,22,2.88
Marinimicrobium,1.692,22,2.88
Limnothrix,1.692,22,2.88
Raoultibacter,2.4,12,2.87
Dehalobacter,1.6,24,2.87
Fenollaria,2.4,12,2.87
Aliikangiella,2.0,16,2.87
Microbacter,2.4,12,2.87
Thiovulum,2.4,12,2.87
Paraglaciecola,1.45,29,2.86
Aliidiomarina,1.562,25,2.86
Methylibium,1.889,17,2.85
Desulfosalsimonas,3.5,7,2.85
Desulfofundulus,1.889,17,2.85
Ventosimonas,3.5,7,2.85
Helcobacillus,3.5,7,2.85
Limnochorda,3.5,7,2.85
Geotoga,3.5,7,2.85
Pseudobacteroides,3.5,7,2.85
Wenxinia,3.5,7,2.85
Harryflintia,3.5,7,2.85
Merismopedia,3.5,7,2.85
Phaeospirillum,3.5,7,2.85
Fibrisoma,3.5,7,2.85
Natranaerovirga,3.5,7,2.85
Azomonas,3.5,7,2.85
Halanaerobacter,3.5,7,2.85
Thermoflavimicrobium,3.5,7,2.85
Kordia,1.8,18,2.83
Oceanobacter,1.8,18,2.83
Thermocrinis,2.167,13,2.82
Flectobacillus,2.167,13,2.82
Prolixibacter,2.167,13,2.82
Pasteurella,1.533,23,2.8
Arsenophonus,1.122,46,2.8
Curvibacter,1.471,25,2.8
Filifactor,2.5,10,2.8
Mariniphaga,2.5,10,2.8
Magnetospirillum,1.5,24,2.8
Hydrocarboniphaga,2.5,10,2.8
Sporobacter,2.5,10,2.8
Stella,2.5,10,2.8
Nautilia,2.5,10,2.8
Ereboglobus,2.5,10,2.8
Streptobacillus,2.0,14,2.79
Tahibacter,2.0,14,2.79
Rhodovulum,1.269,33,2.78
Desulfonatronum,1.875,15,2.77
Acidaminococcus,1.333,28,2.75
Geothrix,1.333,28,2.75
Pelagibacterium,1.35,27,2.75
Riemerella,2.2,11,2.74
Brachyspira,1.412,24,2.74
Mitsuokella,1.7,17,2.74
Sulfuricella,2.2,11,2.74
Hydrogenophilus,2.2,11,2.74
Paludisphaera,2.2,11,2.74
Acidocella,1.438,23,2.73
Faecalitalea,1.5,21,2.73
Phormidesmis,1.583,19,2.73
Hellea,2.667,8,2.71
Thiomargarita,2.667,8,2.71
Plasticicumulans,2.667,8,2.71
Arachidicoccus,2.0,12,2.71
Thiohalomonas,2.667,8,2.71
Vulcaniibacterium,2.667,8,2.71
Paeniclostridium,2.667,8,2.71
Atopococcus,2.667,8,2.71
Suttonella,2.667,8,2.71
Stigonema,2.667,8,2.71
Entomoplasma,2.667,8,2.71
Cylindrospermum,2.667,8,2.71
Kurthia,1.286,27,2.7
Allobaculum,1.857,13,2.68
Thermaerobacter,1.857,13,2.68
Thalassococcus,1.857,13,2.68
Oceanicola,1.857,13,2.68
Oxalobacter,1.75,14,2.67
Alicycliphilus,1.429,20,2.66
Tepidimonas,1.429,20,2.66
Kineosporia,1.429,20,2.66
Anaplasma,1.6,16,2.65
Maricaulis,1.545,17,2.65
Methylomarinum,2.25,9,2.64
Desulfurella,2.25,9,2.64
Denitromonas,2.25,9,2.64
Marinibacterium,2.25,9,2.64
Tindallia,2.25,9,2.64
Murdochiella,2.25,9,2.64
Proteiniborus,2.25,9,2.64
Desulfobotulus,2.25,9,2.64
Thermosyntropha,2.25,9,2.64
Zymomonas,3.0,6,2.63
Metallibacterium,3.0,6,2.63
Sulfuricaulis,3.0,6,2.63
Methylosarcina,3.0,6,2.63
Phoenicibacter,3.0,6,2.63
Jhaorihella,3.0,6,2.63
Algicola,3.0,6,2.63
Sulfurivirga,3.0,6,2.63
Euzebyella,3.0,6,2.63
Dissulfuribacter,3.0,6,2.63
Antricoccus,3.0,6,2.63
Ferriphaselus,3.0,6,2.63
Pseudoflavitalea,3.0,6,2.63
Craurococcus,3.0,6,2.63
Sporosalibacterium,3.0,6,2.63
Castellaniella,1.263,24,2.62
Ideonella,1.263,24,2.62
Methylophilus,1.107,31,2.6
Thiohalobacter,2.0,10,2.6
Halodesulfovibrio,2.0,10,2.6
Myxosarcina,2.0,10,2.6
Kistimonas,2.0,10,2.6
Rhodoblastus,1.833,11,2.58
Aurantimicrobium,1.833,11,2.58
Anaerofilum,1.833,11,2.58
Lutimaribacter,1.833,11,2.58
Aestuariicella,1.833,11,2.58
Chryseomicrobium,1.833,11,2.58
Terasakiella,1.714,12,2.57
Donghicola,1.714,12,2.57
Rivicola,4.0,4,2.57
Salana,4.0,4,2.57
Novibacillus,4.0,4,2.57
Fangia,4.0,4,2.57
Aminomonas,4.0,4,2.57
Haoranjiania,4.0,4,2.57
Goodfellowiella,4.0,4,2.57
Corticibacter,4.0,4,2.57
Rhabdobacter,4.0,4,2.57
Arboricoccus,4.0,4,2.57
Nautella,4.0,4,2.57
Hapalosiphon,4.0,4,2.57
Rhodocista,4.0,4,2.57
Algivirga,4.0,4,2.57
Terasakiispira,4.0,4,2.57
Pseudenhygromyxa,4.0,4,2.57
Eionea,4.0,4,2.57
Coriobacterium,4.0,4,2.57
Herbihabitans,4.0,4,2.57
Roseospirillum,4.0,4,2.57
Methylosoma,4.0,4,2.57
Methylothermus,4.0,4,2.57
Fuchsiella,4.0,4,2.57
Succinispira,4.0,4,2.57
Caldinitratiruptor,4.0,4,2.57
Lacticigenium,4.0,4,2.57
Azonexus,1.625,13,2.56
Fournierella,1.455,16,2.56
Saccharomonospora,1.235,21,2.54
Vogesella,1.235,21,2.54
Brochothrix,2.333,7,2.52
Gilvibacter,2.333,7,2.52
Prochlorothrix,2.333,7,2.52
Sanguibacteroides,2.333,7,2.52
Calditerricola,2.333,7,2.52
Prosthecomicrobium,2.333,7,2.52
Pullulanibacillus,2.333,7,2.52
Formivibrio,2.333,7,2.52
Gloeobacter,2.333,7,2.52
Olivibacter,1.286,18,2.5
Marivita,1.308,17,2.49
Facklamia,1.158,22,2.49
Rhizomicrobium,2.0,8,2.48
Intestinibacter,2.0,8,2.48
Planktothrix,1.167,21,2.48
Octadecabacter,1.333,16,2.48
Trichlorobacter,2.0,8,2.48
Gaetbulibacter,1.333,16,2.48
Oceanibaculum,2.0,8,2.48
Desulfatibacillum,2.0,8,2.48
Marinilabilia,2.0,8,2.48
Cystobacter,2.0,8,2.48
Thiocystis,2.0,8,2.48
Halomicronema,2.0,8,2.48
Dasania,2.0,8,2.48
Marixanthomonas,2.0,8,2.48
Tateyamaria,1.364,15,2.47
Methylocella,1.8,9,2.45
Methylovirgula,1.8,9,2.45
Pseudogracilibacillus,1.5,12,2.45
Thermomicrobium,1.8,9,2.45
Desulfurobacterium,1.5,12,2.45
Synergistes,1.8,9,2.45
Desulfococcus,1.8,9,2.45
Falsirhodobacter,1.5,12,2.45
Cloacibacillus,1.667,10,2.44
Thalassobaculum,1.667,10,2.44
Pseudoramibacter,1.667,10,2.44
Acidihalobacter,1.667,10,2.44
Angustibacter,1.571,11,2.44
Iodidimonas,1.571,11,2.44
Tropicibacter,1.571,11,2.44
Catenovulum,1.667,10,2.44
Tepidibacter,1.571,11,2.44
Thalassomonas,1.667,10,2.44
Ferrimonas,1.2,18,2.43
Cyclobacterium,1.214,17,2.42
Parvularcula,1.25,15,2.39
Larkinella,1.118,19,2.39
Piscirickettsia,2.5,5,2.38
Simonsiella,2.5,5,2.38
Litorivivens,2.5,5,2.38
Mucinivorans,2.5,5,2.38
Tagaea,2.5,5,2.38
Brevifollis,2.5,5,2.38
Desulfoprunum,2.5,5,2.38
Zavarzinella,2.5,5,2.38
Chishuiella,2.5,5,2.38
Carnimonas,2.5,5,2.38
Thermovenabulum,2.5,5,2.38
Cucumibacter,2.5,5,2.38
Insolitispirillum,2.5,5,2.38
Chlorogloea,2.5,5,2.38
Oculatella,2.5,5,2.38
Flavimarina,2.5,5,2.38
Nibrella,2.5,5,2.38
Chthonobacter,2.5,5,2.38
Microseira,2.5,5,2.38
Thermosediminibacter,2.5,5,2.38
Actibacterium,1.125,18,2.37
Salipaludibacillus,1.333,12,2.34
Wenzhouxiangella,1.143,16,2.33
Pseudothermotoga,1.375,11,2.32
Haliea,1.375,11,2.32
Nioella,1.375,11,2.32
Tepidiphilus,1.375,11,2.32
Afifella,1.375,11,2.32
Phytohabitans,1.375,11,2.32
Siphonobacter,1.375,11,2.32
Acuticoccus,1.375,11,2.32
Thiolapillus,2.0,6,2.31
Pseudochrobactrum,1.154,15,2.31
Thiomicrospira,1.154,15,2.31
Marinilactibacillus,1.429,10,2.31
Algiphilus,2.0,6,2.31
Desulfonatronospira,2.0,6,2.31
Hydrogenivirga,2.0,6,2.31
Panacagrimonas,2.0,6,2.31
Planktothricoides,2.0,6,2.31
Vallitalea,1.429,10,2.31
Desulfothermus,2.0,6,2.31
Mizugakiibacter,2.0,6,2.31
Aminiphilus,2.0,6,2.31
Propionispora,2.0,6,2.31
Cesiribacter,2.0,6,2.31
Rhodoluna,1.5,9,2.3
Caldibacillus,1.5,9,2.3
Parasphingopyxis,1.5,9,2.3
Aquiflexum,1.5,9,2.3
Paenochrobactrum,1.5,9,2.3
Gelidibacter,1.167,14,2.29
Oceanococcus,1.75,7,2.29
Globicatella,1.75,7,2.29
Breoghania,1.75,7,2.29
Weeksella,1.75,7,2.29
Crenobacter,1.6,8,2.29
Jejuia,1.75,7,2.29
Aureitalea,1.75,7,2.29
Catalinimonas,1.75,7,2.29
Carboxydothermus,1.75,7,2.29
Deferribacter,1.75,7,2.29
Polyangium,1.182,13,2.27
Methylocaldum,1.182,13,2.27
Asanoa,1.182,13,2.27
Croceitalea,1.2,12,2.24
Patulibacter,1.2,12,2.24
Muribaculum,1.25,10,2.19
Archangium,1.25,10,2.19
Loigolactobacillus,1.25,10,2.19
Desemzia,1.25,10,2.19
Marinospirillum,1.25,10,2.19
Niveispirillum,1.25,10,2.19
uncultured_cyanobacterium.Chloroplast,3.0,3,2.18
Histophilus,3.0,3,2.18
Bibersteinia,3.0,3,2.18
Kozakia,3.0,3,2.18
Thermocatellispora,3.0,3,2.18
Aminicella,3.0,3,2.18
Subsaximicrobium,3.0,3,2.18
Chelonobacter,3.0,3,2.18
Paraphotobacterium,3.0,3,2.18
Halotalea,3.0,3,2.18
Varunaivibrio,3.0,3,2.18
Bisgaardia,3.0,3,2.18
Bradymonas,3.0,3,2.18
Maricurvus,3.0,3,2.18
Potamolinea,3.0,3,2.18
Baia,3.0,3,2.18
Halanaerobaculum,3.0,3,2.18
Changchengzhania,3.0,3,2.18
Allocatelliglobosispora,3.0,3,2.18
Ichthyenterobacterium,3.0,3,2.18
Jejudonia,3.0,3,2.18
Sporotomaculum,3.0,3,2.18
Kribbia,3.0,3,2.18
Halonatronum,3.0,3,2.18
Indibacter,3.0,3,2.18
Fontibacter,3.0,3,2.18
Salicola,3.0,3,2.18
Oceaniserpentilla,3.0,3,2.18
Siansivirga,3.0,3,2.18
Acetohalobium,3.0,3,2.18
Ancylothrix,3.0,3,2.18
Caviibacterium,3.0,3,2.18
Stenoxybacter,3.0,3,2.18
Scytolyngbya,3.0,3,2.18
Halobacteroides,3.0,3,2.18
Desulforegula,3.0,3,2.18
Fastidiosibacter,3.0,3,2.18
Anaerobium,3.0,3,2.18
Salinihabitans,3.0,3,2.18
Postechiella,3.0,3,2.18
Lyticum,3.0,3,2.18
Profundibacterium,3.0,3,2.18
Chroococcopsis,3.0,3,2.18
Thioalkalicoccus,3.0,3,2.18
Cronbergia,3.0,3,2.18
Natribacillus,3.0,3,2.18
Lacimonas,3.0,3,2.18
Roseisalinus,3.0,3,2.18
Anaerovirgula,3.0,3,2.18
Westiellopsis,3.0,3,2.18
Varibaculum,1.286,9,2.17
Rosenbergiella,1.286,9,2.17
Salinarimonas,1.286,9,2.17
Maritalea,1.286,9,2.17
Beijerinckia,1.286,9,2.17
Lebetimonas,1.286,9,2.17
Mailhella,1.333,8,2.14
Pectinatus,1.333,8,2.14
Rhodospirillum,1.333,8,2.14
Roseibacterium,1.1,11,2.13
Aphanizomenon,1.1,11,2.13
Oscillochloris,1.4,7,2.11
Congregibacter,1.4,7,2.11
Epibacterium,1.4,7,2.11
Candidimonas,1.4,7,2.11
Kroppenstedtia,1.4,7,2.11
Halolactibacillus,1.4,7,2.11
Allochromatium,1.4,7,2.11
Caldalkalibacillus,1.4,7,2.11
Acidobacterium,1.5,6,2.09
Aquifex,1.5,6,2.09
Lachnotalea,1.5,6,2.09
Ponticaulis,1.5,6,2.09
Robbsia,1.5,6,2.09
Perlucidibaca,1.5,6,2.09
Caloranaerobacter,1.5,6,2.09
Prochloron,1.5,6,2.09
Stigmatella,1.5,6,2.09
Chitinivorax,1.5,6,2.09
Cribrihabitans,1.5,6,2.09
Ferrithrix,1.667,5,2.08
Parvibacter,2.0,4,2.08
Negativicoccus,1.667,5,2.08
Scardovia,2.0,4,2.08
Labilithrix,1.667,5,2.08
Pyruvatibacter,1.667,5,2.08
Pelobium,2.0,4,2.08
Catenibacillus,1.667,5,2.08
Humibacillus,1.667,5,2.08
Acidithrix,1.667,5,2.08
Flexistipes,2.0,4,2.08
Trabulsiella,2.0,4,2.08
Chlorogloeopsis,1.667,5,2.08
Permianibacter,1.667,5,2.08
Agarilytica,1.667,5,2.08
Chromatocurvus,2.0,4,2.08
Melghirimyces,1.667,5,2.08
Virgisporangium,1.667,5,2.08
Phaeocystidibacter,1.667,5,2.08
Garciella,2.0,4,2.08
Jonesia,2.0,4,2.08
Hespellia,2.0,4,2.08
Chondromyces,1.667,5,2.08
Rhodoligotrophos,1.667,5,2.08
Williamwhitmania,2.0,4,2.08
Ardenticatena,2.0,4,2.08
Aidingimonas,2.0,4,2.08
Acidicapsa,1.667,5,2.08
Lunatimonas,1.667,5,2.08
Geosporobacter,1.667,5,2.08
Floricoccus,2.0,4,2.08
Thermoleophilum,2.0,4,2.08
Paraoerskovia,2.0,4,2.08
Jaaginema,1.667,5,2.08
Balnearium,2.0,4,2.08
Marimicrobium,2.0,4,2.08
Desulfohalobium,2.0,4,2.08
Hydrogenothermus,2.0,4,2.08
Ileibacterium,2.0,4,2.08
Mariniradius,2.0,4,2.08
Georgfuchsia,2.0,4,2.08
Spongiimicrobium,2.0,4,2.08
Nibribacter,2.0,4,2.08
Kallotenue,2.0,4,2.08
Caldanaerobius,2.0,4,2.08
Lacibacter,1.125,9,2.05
Bhargavaea,1.125,9,2.05
Sedimentitalea,1.125,9,2.05
Paraliobacillus,1.125,9,2.05
Geminocystis,1.143,8,2.01
Myceligenerans,1.143,8,2.01
Roseitalea,1.167,7,1.97
Teredinibacter,1.167,7,1.97
Flaviflexus,1.167,7,1.97
Belnapia,1.167,7,1.97
Gloeocapsa,1.167,7,1.97
Thermodesulfatator,1.2,6,1.92
Ferrovibrio,1.2,6,1.92
Verminephrobacter,1.2,6,1.92
Enteractinococcus,1.2,6,1.92
Geminicoccus,1.2,6,1.92
Kosmotoga,1.2,6,1.92
Planosporangium,1.2,6,1.92
Gallaecimonas,1.2,6,1.92
Pseudochelatococcus,1.2,6,1.92
