file,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
200_Cafeteriaceae_family.fna,Cafeteriaceae,family,10,1782.2,1628,2719,4.41,18,Bigyra > Opalozoa > Bicosoecida,1
201_Plasmodiidae_family.fna,Plasmodiidae,family,42,1974.7,1515,2220,7.63,89,Apicomplexa > Aconoidasida > Haemosporida,2
202_Chydoridae_family.fna,Chydoridae,family,9,1803.7,1304,2285,4.32,12,Diplostraca > Cladocera > Anomopoda,1
203_Aphelidiaceae_family.fna,Aphelidiaceae,family,4,3505.0,1228,7526,4.32,12,Opisthokonta > Aphelida > Aphelidea,1
204_Temoridae_family.fna,Temoridae,family,12,1679.1,1204,1978,4.28,21,Neocopepoda > Gymnoplea > Calanoida,1
205_Russulaceae_family.fna,Russulaceae,family,53,1865.2,1234,8783,4.25,71,Agaricomycetes > Agaricomycetes incertae sedis > Russulales,1
206_Brassicaceae_family.fna,Brassicaceae,family,30,1424.3,1206,2047,4.04,30,rosids > malvids > Brassicales,1
207_Coelomomycetaceae_family.fna,Coelomomycetaceae,family,6,2425.5,1467,2981,4.0,10,Blastocladiomycota > Blastocladiomycetes > Blastocladiales,1
208_Trichosporonaceae_family.fna,Trichosporonaceae,family,28,1824.2,1207,7930,3.96,42,Agaricomycotina > Tremellomycetes > Trichosporonales,1
209_Teratosphaeriaceae_family.fna,Teratosphaeriaceae,family,19,1370.9,1229,1475,3.84,29,Dothideomycetes > Dothideomycetidae > Mycosphaerellales,1
210_Ricinidae_family.fna,Ricinidae,family,4,1630.0,1294,1784,3.83,13,Psocodea > Phthiraptera > Amblycera,1
211_Blastocladiaceae_family.fna,Blastocladiaceae,family,15,1732.5,1306,1921,3.81,16,Blastocladiomycota > Blastocladiomycetes > Blastocladiales,1
212_Cryptosporidiidae_family.fna,Cryptosporidiidae,family,13,1735.7,1635,1803,3.77,50,Coccidia > Eucoccidiorida > Eimeriorina,1
213_Chromulinaceae_family.fna,Chromulinaceae,family,9,1294.8,1215,1757,3.7,12,Ochrophyta > Chrysophyceae > Chromulinales,1
214_Balamuthiidae_family.fna,Balamuthiidae,family,8,1498.0,1367,2037,3.62,8,Discosea > Longamoebia > Centramoebida,1
215_Entylomatales_order.fna,Entylomatales,order,6,3577.7,1403,10358,3.62,8,Basidiomycota > Ustilaginomycotina > Exobasidiomycetes,1
216_Onygenaceae_family.fna,Onygenaceae,family,8,1562.9,1337,1792,3.55,11,Eurotiomycetes > Eurotiomycetidae > Onygenales,1
217_Chloropicaceae_family.fna,Chloropicaceae,family,14,1714.1,1216,2170,3.43,15,Chlorophyta > Chloropicophyceae > Chloropicales,1
218_Psoraceae_family.fna,Psoraceae,family,6,1739.7,1290,2881,3.4,10,Lecanoromycetidae > Lecanorales > Lecanorineae,1
219_Chytriomycetaceae_family.fna,Chytriomycetaceae,family,9,2604.9,1491,10157,3.33,12,Chytridiomycota incertae sedis > Chytridiomycetes > Chytridiales,1
220_Ostreidae_family.fna,Ostreidae,family,10,1483.7,1226,1825,3.2,13,Pteriomorphia > Ostreida > Ostreoidea,1
221_Mycosphaerellaceae_family.fna,Mycosphaerellaceae,family,7,1482.6,1204,1820,3.14,16,Dothideomycetes > Dothideomycetidae > Mycosphaerellales,1
222_Pelagiidae_family.fna,Pelagiidae,family,11,2218.1,1206,7984,2.99,13,Cnidaria > Scyphozoa > Semaeostomeae,1
223_Peloderinae_subfamily.fna,Peloderinae,subfamily,52,1713.5,1259,2692,2.94,57,Rhabditomorpha > Rhabditoidea > Rhabditidae,1
224_Polychytriales_order.fna,Polychytriales,order,5,1609.0,1438,2038,2.89,5,Chytridiomycota > Chytridiomycota incertae sedis > Chytridiomycetes,1
225_Aphrophoridae_family.fna,Aphrophoridae,family,4,1595.2,1209,2003,2.89,5,Auchenorrhyncha > Cicadomorpha > Cercopoidea,1
226_Phyllocoptinae_subfamily.fna,Phyllocoptinae,subfamily,4,1495.0,1213,2316,2.89,5,Eupodina > Eriophyoidea > Eriophyidae,1
228_Taphrinaceae_family.fna,Taphrinaceae,family,12,1920.9,1309,3250,2.85,17,Taphrinomycotina > Taphrinomycetes > Taphrinales,1
229_Chlamydomonadaceae_family.fna,Chlamydomonadaceae,family,18,1650.3,1218,2738,2.67,23,Chlorophyceae > CS clade > Chlamydomonadales,1
230_Campopleginae_subfamily.fna,Campopleginae,subfamily,1,2300.0,2300,2300,2.57,4,Apocrita > Ichneumonoidea > Ichneumonidae,1
231_Acartiidae_family.fna,Acartiidae,family,4,1819.2,1674,1926,2.57,4,Neocopepoda > Gymnoplea > Calanoida,1
232_Saprolegniaceae_family.fna,Saprolegniaceae,family,2,10225.5,10027,10424,2.38,5,Stramenopiles > Oomycota > Saprolegniales,1
233_Mrakiaceae_family.fna,Mrakiaceae,family,4,3626.8,1211,9506,2.32,11,Agaricomycotina > Tremellomycetes > Cystofilobasidiales,1
234_Strigomonadinae_subfamily.fna,Strigomonadinae,subfamily,6,2134.0,2091,2165,2.31,6,Metakinetoplastina > Trypanosomatida > Trypanosomatidae,1
235_Pooideae_subfamily.fna,Pooideae,subfamily,4,1349.8,1207,1438,2.29,7,Poales > Poaceae > BOP clade,1
236_Barbatosphaeriaceae_family.fna,Barbatosphaeriaceae,family,2,1977.5,1208,2747,2.18,3,Sordariomycetes > Sordariomycetidae > Barbatosphaeriales,1
237_Dermateaceae_family.fna,Dermateaceae,family,2,1620.5,1595,1646,2.18,3,sordariomyceta > Leotiomycetes > Helotiales,1
238_Sigmoideomycetaceae_family.fna,Sigmoideomycetaceae,family,2,1394.0,1383,1405,2.18,3,Zoopagomycotina > Zoopagomycetes > Zoopagales,1
239_Xenopodinae_subfamily.fna,Xenopodinae,subfamily,4,1466.8,1293,1576,1.86,5,Anura > Pipoidea > Pipidae,1
240_Anguininae_subfamily.fna,Anguininae,subfamily,4,1237.5,1223,1261,1.8,4,Tylenchomorpha > Sphaerularioidea > Anguinidae,1
241_Rhizophydiales_order.fna,Rhizophydiales,order,2,1675.0,1553,1797,5.06,32,Chytridiomycota > Chytridiomycota incertae sedis > Chytridiomycetes,2
242_Coniophoraceae_family.fna,Coniophoraceae,family,2,1553.5,1259,1848,1.69,2,Agaricomycetidae > Boletales > Coniophorineae,1
243_Cecidomyiinae_subfamily.fna,Cecidomyiinae,subfamily,2,2048.5,2032,2065,1.69,2,Bibionomorpha > Sciaroidea > Cecidomyiidae,1
244_Cyanidiaceae_family.fna,Cyanidiaceae,family,1,1809.0,1809,1809,1.69,2,Rhodophyta > Bangiophyceae > Cyanidiales,1
